name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Котлета Ес Агро Чикенбургер для бургера, 300г	169,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	Wed Jul  3 15:04:29 2024	Котлета Ес Агро Чикенбургер для бургера, 300г	Цена169,99 ₽	Ес Агро	235.0	15.0 г	19.0 г	0.5 г	Филе цыпленка-бройлера, вода, соль. 	True	True	Fri Jul  5 23:13:50 2024
Фарш ЕС Агро Премиум замороженный, 500г	249,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/63/p/fars-es-agro-premium-zamorozennyj-500g-4342023	Wed Jul  3 15:04:29 2024	Фарш ЕС Агро Премиум замороженный, 500г	Цена249,99 ₽	Ес Агро	235.0	15.0 г	19.0 г	0.5 г	Мясо ЦБ рубленное. 	True	True	Fri Jul  5 23:13:51 2024
Печень цыплят-бройлеров Птицефабрика Псковская замороженная	219,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/pecen-cyplat-brojlerov-pticefabrika-pskovskaa-zamorozennaa-4060557	Wed Jul  3 15:04:29 2024	Печень цыплят-бройлеров Птицефабрика Псковская замороженная	Цена219,99 ₽	Псковская ПФ	162.0	18.0 г	10.0 г	0.0 г	Печень цыплят-бройлеров. 	True	True	Fri Jul  5 23:13:52 2024
Котлеты Мираторг  Бургер Классический замороженные, 360г	289,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-burger-klassiceskij-zamorozennye-360g-4141124	Wed Jul  3 15:04:29 2024	Котлеты Мираторг  Бургер Классический замороженные, 360г	Цена289,99 ₽	Мираторг	360.0	12.0 г	35.0 г	0.0 г	Говядина, вода, соль поваренная, перец черный, чеснок, лук. 	True	True	Fri Jul  5 23:13:53 2024
Стейк Мясо Есть! Рибай из говядины категории А замороженный, 250г	499,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/63/p/stejk-maso-est-ribaj-iz-govadiny-kategorii-a-zamorozennyj-250g-4338615	Wed Jul  3 15:04:29 2024	Стейк Мясо Есть! Рибай из говядины категории А замороженный, 250г	Цена499,99 ₽	Мясо есть!	202.0	19.0 г	14.0 г	0.0 г	Говядина. 	True	True	Fri Jul  5 23:13:53 2024
Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	299,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/60/p/frikadelki-vesko-iz-govadiny-i-kuricy-kategorii-b-zamorozennye-450g-4336016	Wed Jul  3 15:04:29 2024	Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	Цена299,99 ₽	Веско	240.0	17.4 г	18.0 г	6.0 г	Говядина, филе куриной грудки, хлеб бездрожжевой (мука пшеничная хлебопекарная высшего сорта, вода питьевая очищенная, закваска (мука пшеничная первого сорта, мука ржаная обдирная, вода питьевая очищенная), сахар, соль пищевая), вода питьевая, лук репчатый свежий, яичный белок пастеризованный охлажденный, соль пищевая, перец черный молотый. 	True	True	Fri Jul  5 23:13:54 2024
Головы цыплят-бройлеров замороженные	67,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/golovy-cyplat-brojlerov-zamorozennye-4229139	Thu Jul  4 08:49:00 2024	Головы цыплят-бройлеров замороженные	Цена67,99 ₽	none	100.0	8.0 г	8.0 г	0.0 г	Головы цыпленка бройлера. 	True	True	Fri Jul  5 23:13:55 2024
Тушка цыплёнка-бройлера 1 сорт потрошёная замороженная зерновой откорм	319,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/tuska-cyplenka-brojlera-1-sort-potrosenaa-zamorozennaa-zernovoj-otkorm-4341461	Thu Jul  4 08:49:00 2024	Тушка цыплёнка-бройлера 1 сорт потрошёная замороженная зерновой откорм	Цена319,99 ₽	none	190.0	16.0 г	14.0 г	0.0 г	Тушка цыплёнка бройлера 1-го сорта. 	True	True	Fri Jul  5 23:13:55 2024
Язык говяжий замороженный	999,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/azyk-govazij-zamorozennyj-4088926	Thu Jul  4 08:49:00 2024	Язык говяжий замороженный	Цена999,99 ₽	Собственное производство Перекрёсток	208.0	16.0 г	16.0 г	0.0 г	Язык говяжий. 	True	True	Fri Jul  5 23:13:56 2024
Мякоть Мясо Есть! тазобедренной части говяжьей категории А замороженная, 600г	699,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/63/p/makot-maso-est-tazobedrennoj-casti-govazej-kategorii-a-zamorozennaa-600g-4338612	Thu Jul  4 08:49:00 2024	Мякоть Мясо Есть! тазобедренной части говяжьей категории А замороженная, 600г	Цена699,99 ₽	Мясо есть!	123.8	17.0 г	6.2 г	0.0 г	Говядина. 	True	True	Fri Jul  5 23:13:57 2024
