name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Квас Овсяный с мятой Зелёная Линия, 1л	99,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/212/p/kvas-ovsanyj-s-matoj-zelenaa-linia-1l-4138114	Wed Jul  3 15:03:38 2024	Квас Овсяный с мятой Зелёная Линия, 1л	Цена99,99 ₽	Зелёная Линия	30.0	0.0 г	0.0 г	7.5 г	Специально подготовленная вода, сахар, овес ферментированный, концентрат квасного сусла (мука ржаная, мука кукурузная, солод ржаной ферментированный и неферментированный, солод ячменный), мята, дрожжи хлебопекарные. 	True	True	Fri Jul  5 22:44:59 2024
Квас Очаковский двойного брожения, 2л	99,99 ₽/шт	2000 мл	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-2l-2052438	Wed Jul  3 15:03:38 2024	Квас Очаковский двойного брожения, 2л	Цена99,99 ₽	Очаковский	35.0	0.0 г	0.0 г	6.5 г	Подготовленная вода, сахар, концентрат квасного сусла(ржаная мука, ржаный солод), чистые культуры дрожжей и молочнокислых бактерий в виде смешанной закваски. 	True	True	Fri Jul  5 22:44:59 2024
Квас Традиционный Зелёная Линия, 2л	149,99 ₽/шт	2000 мл	https://www.perekrestok.ru/cat/212/p/kvas-tradicionnyj-zelenaa-linia-2l-4135617	Wed Jul  3 15:03:38 2024	Квас Традиционный Зелёная Линия, 2л	Цена149,99 ₽	Зелёная Линия	32.0	0.0 г	0.0 г	8.0 г	Специально подготовленная вода, белый сахар, концентрат квасного сусла (мука ржаная, мука кукурузная, солод ржаной ферментированный и неферментированный, солод ячменный), дрожжи хлебопекарные. 	True	True	Fri Jul  5 22:45:00 2024
Квас Традиционный Зелёная Линия, 1л	109,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/212/p/kvas-tradicionnyj-zelenaa-linia-1l-4070181	Wed Jul  3 15:03:38 2024	Квас Традиционный Зелёная Линия, 1л	Цена109,99 ₽	Зелёная Линия	32.0	0.0 г	0.0 г	8.0 г	Специально подготовленная вода, белый сахар, концентрат квасного сусла (мука ржаная, мука кукурузная, солод ржаной ферментированный и неферментированный, солод ячменный), дрожжи хлебопекарные. Содержит глютен. 	True	True	Fri Jul  5 22:45:01 2024
Квас Лидский Хлебный, 1.5л	139,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/212/p/kvas-lidskij-hlebnyj-1-5l-3630214	Wed Jul  3 15:03:38 2024	Квас Лидский Хлебный, 1.5л	Цена139,99 ₽	Лидский	29.7	0.0 г	0.0 г	8.6 г	Вода артезианская подготовленная, сахар, концентрат квасного сусла (в е тритикале, мука ржаная, солод ржаной ферментированный, солод светлый пивоваренный ячменный), концентрат ржаного темного солода (в е ферментированный солод ячменный пивоваренный темный), регулятор кислотности - кислота лимонная. 	True	True	Fri Jul  5 22:45:02 2024
Квас Очаковский двойного брожения, 1л	75,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-1l-2141248	Wed Jul  3 15:03:38 2024	Квас Очаковский двойного брожения, 1л	Цена75,99 ₽	Очаковский	30.0	0.0 г	0.0 г	6.0 г	Подготовленная вода, сахар, концентрат квасного сусла(ржаная мука, ржаный солод), чистые культуры дрожжей и молочнокислых бактерий в виде смешанной закваски. 	True	True	Fri Jul  5 22:45:03 2024
Квас Очаковский двойного брожения, 500мл	77,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-500ml-2052441	Wed Jul  3 15:03:38 2024	Квас Очаковский двойного брожения, 500мл	Цена67,99 ₽	Очаковский	30.0	0.0 г	0.0 г	6.0 г	Подготовленная вода, сахар, концентрат квасного сусла (ржаная мука, ржаной солод) чистые культуры дрожжей и молочнокислых бактерий в виде смешанной закваски. 	True	True	Fri Jul  5 22:45:04 2024
Квас Русский дар Традиционный, 2л	119,99 ₽/шт	2000 мл	https://www.perekrestok.ru/cat/212/p/kvas-russkij-dar-tradicionnyj-2l-3273454	Wed Jul  3 15:03:38 2024	Квас Русский дар Традиционный, 2л	Цена119,99 ₽	Русский Дар	40.0	0.5 г	0.0 г	7.0 г	Вода, сахар, концентрат квасного сусла (солод ржаной, солод ячменный, мука ржаная), регулятор кислотности (молочная кислота), хлебопекарные дрожжи. 	True	True	Fri Jul  5 22:45:05 2024
Квас Овсяный с базиликом Зелёная Линия, 1л	99,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/212/p/kvas-ovsanyj-s-bazilikom-zelenaa-linia-1l-4138116	Wed Jul  3 15:03:38 2024	Квас Овсяный с базиликом Зелёная Линия, 1л	Цена99,99 ₽	Зелёная Линия	30.0	0.0 г	0.0 г	7.5 г	Специально подготовленная вода, сахар, овес ферментированный, концентрат квасного сусла (мука ржаная, мука кукурузная, солод ржаной ферментированный и неферментированный, солод ячменный), базилик, дрожжи хлебопекарные. 	True	True	Fri Jul  5 22:45:06 2024
Квас Лидский Тёмный, 1.5л	139,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/212/p/kvas-lidskij-temnyj-1-5l-3630215	Wed Jul  3 15:03:38 2024	Квас Лидский Тёмный, 1.5л	Цена139,99 ₽	Лидский	29.7	0.0 г	0.0 г	8.6 г	Вода артезианская подготовленная, сахар, концентрат квасного сусла (в е тритикале, мука ржаная, солод ржаной ферментированный, солод светлый пивоваренный ячменный), концентрат ржаного темного солода (в е ферментированный солод ячменный пивоваренный темный), регулятор кислотности - кислота лимонная. 	True	True	Fri Jul  5 22:45:07 2024
