name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Масло подсолнечное рафинированное дезодорированное 1 сорт Пр!ст, 900мл	96,50 ₽/шт	900 мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-rafinirovannoe-dezodorirovannoe-1-sort-pr-st-900ml-3642040	Wed Jul  3 15:02:55 2024	Масло подсолнечное рафинированное дезодорированное 1 сорт Пр!ст, 900мл	Цена79,90 ₽	Пр!ст	0.0	0.0 г	99.9 г	0.0 г	Масло подсолнечное натуральное рафинированное. 	True	True	Fri Jul  5 21:46:51 2024
Масло оливковое Extra Virgin нерафинированное Маркет Перекрёсток, 250мл	499,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/104/p/maslo-olivkovoe-extra-virgin-nerafinirovannoe-market-perekrestok-250ml-3501258	Wed Jul  3 15:02:55 2024	Масло оливковое Extra Virgin нерафинированное Маркет Перекрёсток, 250мл	Цена499,99 ₽	Маркет	900.0	0.0 г	100.0 г	0.0 г	Масло оливковое нерафинированное высшего качества первого прессования (отжима). Получено исключительно из оливок, обработанных механическим способом. 	True	True	Fri Jul  5 21:46:51 2024
Масло льняное нерафинированное Зелёная Линия, 250мл	149,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/104/p/maslo-lnanoe-nerafinirovannoe-zelenaa-linia-250ml-4225638	Wed Jul  3 15:02:55 2024	Масло льняное нерафинированное Зелёная Линия, 250мл	Цена149,99 ₽	Зелёная Линия	900.0	0.0 г	100.0 г	0.0 г	Масло льняное нерафинированное холодного отжима. 	True	True	Fri Jul  5 21:46:52 2024
Масло оливковое Olive-Pomace Oil рафинированное + нерафинированное Маркет Перекрёсток, 500мл	499,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/104/p/maslo-olivkovoe-olive-pomace-oil-rafinirovannoe-nerafinirovannoe-market-perekrestok-500ml-3660319	Wed Jul  3 15:02:55 2024	Масло оливковое Olive-Pomace Oil рафинированное + нерафинированное Маркет Перекрёсток, 500мл	Цена459,90 ₽	Маркет	900.0	0.0 г	100.0 г	0.0 г	Смесь рафинированного оливкового масла из выжимок и оливковых масел первого прессования (отжима). 	True	True	Fri Jul  5 21:46:53 2024
Масло оливковое Extra Virgin нерафинированное Маркет Перекрёсток, 500мл	919,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/104/p/maslo-olivkovoe-extra-virgin-nerafinirovannoe-market-perekrestok-500ml-3501259	Wed Jul  3 15:02:55 2024	Масло оливковое Extra Virgin нерафинированное Маркет Перекрёсток, 500мл	Цена919,99 ₽	Маркет	900.0	0.0 г	100.0 г	0.0 г	Оливковое масло высшей категории, полученное из оливок исключительно путем механической обработки. 	True	True	Fri Jul  5 21:46:55 2024
Масло подсолнечное Слобода рафинированное дезодорированное высший сорт, 1л	134,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-sloboda-rafinirovannoe-dezodorirovannoe-vyssij-sort-1l-21676	Wed Jul  3 15:02:55 2024	Масло подсолнечное Слобода рафинированное дезодорированное высший сорт, 1л	Цена134,99 ₽	Слобода	899.0	0.0 г	99.9 г	0.0 г	Масло подсолнечное рафинированное дезодорированное, вымороженное (выработанное из смеси полнозрелых семян и семян молочной спелости). 	True	True	Fri Jul  5 21:46:57 2024
Масло подсолнечное Altero с добавлением оливкового, 810мл	149,99 ₽/шт	810 мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-altero-s-dobavleniem-olivkovogo-810ml-85884	Wed Jul  3 15:02:55 2024	Масло подсолнечное Altero с добавлением оливкового, 810мл	Цена169,99 ₽	Altero	899.0	0.0 г	99.9 г	0.0 г	Масло подсолнечное рафинированное дезодорированное вымороженное, масло оливковое рафинированное. 	True	True	Fri Jul  5 21:46:58 2024
Масло подсолнечное Золотая Семечка рафинированное, 1л	139,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-zolotaa-semecka-rafinirovannoe-1l-64128	Wed Jul  3 15:02:55 2024	Масло подсолнечное Золотая Семечка рафинированное, 1л	Цена139,99 ₽	Золотая семечка	899.0	0.0 г	99.9 г	0.0 г	100% подсолнечное рафинированное дезодорированное вымороженное масло. 	True	True	Fri Jul  5 21:46:59 2024
Масло подсолнечное Благо рафинированное дезодорированное вымороженное, 1л	129,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-blago-rafinirovannoe-dezodorirovannoe-vymorozennoe-1l-2043188	Wed Jul  3 15:02:55 2024	Масло подсолнечное Благо рафинированное дезодорированное вымороженное, 1л	Цена129,99 ₽	Благо	899.0	0.0 г	99.9 г	0.0 г	Масло подсолнечное рафинированное дезодорированное вымороженное. 	True	True	Fri Jul  5 21:47:00 2024
Масло подсолнечное Золотая Семечка рафинированное, 500мл	69,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-zolotaa-semecka-rafinirovannoe-500ml-2046261	Wed Jul  3 15:02:55 2024	Масло подсолнечное Золотая Семечка рафинированное, 500мл	Цена69,99 ₽	Золотая семечка	899.0	none	100.0 г	none	100% подсолнечное рафинированное дезодорированное вымороженное масло. 	True	True	Fri Jul  5 21:47:00 2024
