name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Морс клюквенный Зелёная Линия, 500мл	109,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/257/p/mors-klukvennyj-zelenaa-linia-500ml-4187805	Wed Jul  3 15:03:49 2024	Морс клюквенный Зелёная Линия, 500мл	Цена109,99 ₽	Зелёная Линия	41.0	0.0 г	0.0 г	10.4 г	Пюре из ягод клюквы быстрозамороженной, сахар, вода питьевая подготовленная. 	True	True	Fri Jul  5 22:48:38 2024
Морс Облепиховый Зелёная Линия, 500мл	109,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/257/p/mors-oblepihovyj-zelenaa-linia-500ml-4187803	Wed Jul  3 15:03:49 2024	Морс Облепиховый Зелёная Линия, 500мл	Цена109,99 ₽	Зелёная Линия	41.6	0.0 г	0.0 г	10.4 г	Пюре из ягод облепихи быстрозамороженной, сахар, вода питьевая подготовленная. 	True	True	Fri Jul  5 22:48:39 2024
Морс черносмородиновый Зелёная Линия, 500мл	109,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/257/p/mors-cernosmorodinovyj-zelenaa-linia-500ml-4187804	Wed Jul  3 15:03:49 2024	Морс черносмородиновый Зелёная Линия, 500мл	Цена109,99 ₽	Зелёная Линия	41.6	0.0 г	0.0 г	10.4 г	Пюре из ягод черной смородины быстрозамороженной, сахар, вода питьевая подготовленная. 	True	True	Fri Jul  5 22:48:40 2024
Морс клюквенный Зелёная Линия, 1л	169,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/257/p/mors-klukvennyj-zelenaa-linia-1l-4297529	Wed Jul  3 15:03:49 2024	Морс клюквенный Зелёная Линия, 1л	Цена169,99 ₽	Зелёная Линия	40.0	0.0 г	0.0 г	10.0 г	Пюре из ягод клюквы быстрозамороженной, сахар, вода питьевая подготовленная. 	True	True	Fri Jul  5 22:48:41 2024
Морс черносмородиновый Зелёная Линия, 1л	169,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/257/p/mors-cernosmorodinovyj-zelenaa-linia-1l-4297531	Wed Jul  3 15:03:49 2024	Морс черносмородиновый Зелёная Линия, 1л	Цена169,99 ₽	Зелёная Линия	40.0	0.0 г	0.0 г	10.0 г	Пюре из ягод черной смородины быстрозамороженной, сахар, вода питьевая подготовленная. 	True	True	Fri Jul  5 22:48:42 2024
Морс Лесные ягоды Зелёная Линия, 500мл	109,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/257/p/mors-lesnye-agody-zelenaa-linia-500ml-4280082	Wed Jul  3 15:03:49 2024	Морс Лесные ягоды Зелёная Линия, 500мл	Цена109,99 ₽	Зелёная Линия	40.0	0.0 г	0.0 г	10.0 г	Смешанное пюре из ягод (брусники, клюквы, черники) быстрозамороженных, сахар, вода питьевая. 	True	True	Fri Jul  5 22:48:43 2024
Морс Чудо-Ягода Клюквенный, 970мл	269,99 ₽/шт	970 мл	https://www.perekrestok.ru/cat/214/p/mors-cudo-agoda-klukvennyj-970ml-3190898	Wed Jul  3 15:03:49 2024	Морс Чудо-Ягода Клюквенный, 970мл	Цена259,99 ₽	Чудо-Ягода	50.0	0.0 г	0.0 г	12.0 г	Клюквенный сок, сахар (s)** или сахар и глюкозно-фруктозный сироп (g)**, натуральный ароматизатор, вода. 	True	True	Fri Jul  5 22:48:44 2024
Морс Чудо-Ягода Ягодный сбор, 970мл	259,99 ₽/шт	970 мл	https://www.perekrestok.ru/cat/214/p/mors-cudo-agoda-agodnyj-sbor-970ml-3192023	Wed Jul  3 15:03:49 2024	Морс Чудо-Ягода Ягодный сбор, 970мл	Цена259,99 ₽	Чудо-Ягода	50.0	0.0 г	0.0 г	13.0 г	Клюквенный сок, черничный сок, пюре ежевики, сахар (s)** или сахар и глюкозно-фруктозный сироп (g)**, натуральный ароматизатор, вода. 	True	True	Fri Jul  5 22:48:45 2024
Морс Добрый виноград-клюква- брусника-морошка, 970мл	154,99 ₽/шт	970 мл	https://www.perekrestok.ru/cat/214/p/mors-dobryj-vinograd-klukva-brusnika-moroska-970ml-4259201	Wed Jul  3 15:03:49 2024	Морс Добрый виноград-клюква- брусника-морошка, 970мл	Цена149,99 ₽	Добрый	42.0	0.0 г	0.0 г	10.5 г	Виноградный сок, пюре из клюквы, пюре из брусники, пюре из морошки, сахар, регулятор кислотности - лимонная кислота, натуральные ароматизаторы, экстракт брусники, экстракт клюквы, вода. 	True	True	Fri Jul  5 22:48:46 2024
Морс облепиховый Зелёная Линия, 1л	169,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/257/p/mors-oblepihovyj-zelenaa-linia-1l-4297530	Wed Jul  3 15:03:49 2024	Морс облепиховый Зелёная Линия, 1л	Цена169,99 ₽	Зелёная Линия	40.0	0.0 г	0.0 г	10.0 г	Пюре из ягод облепихи быстрозамороженной, сахар, вода питьевая подготовленная. 	True	True	Fri Jul  5 22:48:47 2024
