name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Коктейль молочный Растишка для детей ванильное мороженое 2%, 210г	55,99 ₽/шт	210 гр	https://www.perekrestok.ru/cat/230/p/koktejl-molocnyj-rastiska-dla-detej-vanilnoe-morozenoe-2-210g-4045396	Wed Jul  3 15:02:48 2024	Коктейль молочный Растишка для детей ванильное мороженое 2%, 210г	Цена53,99 ₽	Растишка	70.0	3.3 г	2.0 г	9.9 г	Нормализованное молоко, сахар, стабилизатор – каррагинан, ароматизатор натуральный, краситель – каротины. 	True	True	Fri Jul  5 21:39:20 2024
Коктейль молочный Растишка для детей клубника 2%, 210г	53,99 ₽/шт	210 гр	https://www.perekrestok.ru/cat/230/p/koktejl-molocnyj-rastiska-dla-detej-klubnika-2-210g-4045398	Wed Jul  3 15:02:48 2024	Коктейль молочный Растишка для детей клубника 2%, 210г	Цена53,99 ₽	Растишка	70.0	3.3 г	2.0 г	10.0 г	Нормализованное молоко, сахар, стабилизатор – каррагинан, ароматизатор натуральный, краситель – кармины. 	True	True	Fri Jul  5 21:39:21 2024
Напиток сывороточный Актуаль с соками апельсина и манго 0.1%, 310мл	34,99 ₽/шт	310 мл	https://www.perekrestok.ru/cat/120/p/napitok-syvorotocnyj-aktual-s-sokami-apelsina-i-mango-0-1-310ml-3629004	Wed Jul  3 15:02:48 2024	Напиток сывороточный Актуаль с соками апельсина и манго 0.1%, 310мл	Цена53,99 ₽	Актуаль	36.0	0.5 г	0.1 г	8.3 г	Восстановленная молочная сыворотка, наполнитель (соки апельсина и манго концентрированного; вода; краситель – каротины; ароматизатор; стабилизатор – пектины; регуляторы кислотности – аскорбиновая и яблочная кислоты), сахар, стабилизатор – пектины, регуляторы кислотности – лимонная кислота, витаминно-минеральный премикс (витамины – B1, B6, B3, E, D; микроэлементы – цинк, медь), консервант – сорбат калия, ароматизатор. 	True	True	Fri Jul  5 21:39:22 2024
Коктейль молочный Чудо Шоколад 3%, 200мл	61,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-sokolad-3-200ml-42876	Wed Jul  3 15:02:48 2024	Коктейль молочный Чудо Шоколад 3%, 200мл	Цена54,99 ₽	Чудо	94.0	2.8 г	3.0 г	14.0 г	А - молоко нормализованное, сахар, стабилизаторы (ацетилированный дикрахмаладипат, каррагинан), какао-порошок, шоколад темный в порошке; В - молоко нормализованное, молоко восстановленное, сахар, стабилизаторы (ацетилированный дикрахмаладипат, каррагинан), какао-порошок, шоколад темный в порошке. 	True	True	Fri Jul  5 21:39:23 2024
Коктейль молочный Авишка шоколадный 2.5%, 200мл	31,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-aviska-sokoladnyj-2-5-200ml-3636023	Wed Jul  3 15:02:48 2024	Коктейль молочный Авишка шоколадный 2.5%, 200мл	Цена24,99 ₽	Авида	70.0	2.8 г	2.5 г	9.7 г	none	True	True	Fri Jul  5 21:39:24 2024
Коктейль молочный Чудо Шоколад 2%, 950мл	169,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-sokolad-2-950ml-3339133	Wed Jul  3 15:02:48 2024	Коктейль молочный Чудо Шоколад 2%, 950мл	Цена169,99 ₽	Чудо	77.0	2.8 г	2.0 г	11.9 г	Молоко нормализованное, сахар, стабилизаторы – каррагинан, гуаровая камедь, эмульгатор – моно- и диглицериды жирных кислот, ароматизатор натуральный – «Мороженое ванильный пломбир». 	True	True	Fri Jul  5 21:39:25 2024
Коктейль молочный Grand Cocktail солёная карамель 4%, 260мл	104,99 ₽/шт	260 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-grand-cocktail-solenaa-karamel-4-260ml-3676678	Wed Jul  3 15:02:48 2024	Коктейль молочный Grand Cocktail солёная карамель 4%, 260мл	Цена79,99 ₽	Grand Cocktail	110.0	3.8 г	4.0 г	15.1 г	Обезжиренное молоко, сливки, сахар, сухое обезжиренное молоко, сухой глюкозный сироп, сухая молочная сыворотка, загуститель – гуаровая камедь, эмульгатор – моно- и диглицериды жирных кислот, декстроза, стабилизатор – каррагинан, ароматизаторы, соль, красители – сахарный колер III, каротины. 	True	True	Fri Jul  5 21:39:26 2024
Коктейль молочный Чудо Шоколад 2%, 960мл	179,99 ₽/шт	960 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-sokolad-2-960ml-3339126	Wed Jul  3 15:02:48 2024	Коктейль молочный Чудо Шоколад 2%, 960мл	Цена142,99 ₽	Чудо	77.0	2.8 г	2.0 г	11.9 г	А - молоко цельное или B - сливки (см. букву в маркировке), глазурь жировая «Карамель» (масло кокосовое рафинированное дезодорированное, пудра сахарная, рапсовое масло, молоко сухое обезжиренное, сыворотка молочная сухая, какао-порошок, эмульгатор E322, ароматизатор “Тоффи”, комплексная пищевая добавка (масло растительное, краситель Е160b, эмульгатор Е322), комплексная пищевая добавка (эмульгатор Е433, краситель Е100)), масло сливочное, молоко цельное сгущенное с сахаром (цельное молоко, молоко обезжиренное, сахара (сахароза, лактоза)), вода питьевая, сахар, молоко сухое цельное, молоко сгущенное с сахаром вареное (цельное молоко, обезжиренное молоко, сахар (сахароза), с использованием фермента «Галактаза»), молоко сухое обезжиренное, эмульгатор (моно- и диглицериды жирных кислот), стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан), ароматизатор пищевой «Ванилин». 	True	True	Fri Jul  5 21:39:27 2024
Коктейль Ecomilk молочный Соло шоколадный пастеризованный 2%, 930мл	124,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/116/p/koktejl-ecomilk-molocnyj-solo-sokoladnyj-pasterizovannyj-2-930ml-4223899	Wed Jul  3 15:02:48 2024	Коктейль Ecomilk молочный Соло шоколадный пастеризованный 2%, 930мл	Цена129,99 ₽	Экомилк	75.0	3.2 г	2.0 г	11.7 г	Нормализованное молоко, сахар, банановое пюре, ароматизатор, стабилизатор – каррагинан, краситель – куркумин. 	True	True	Fri Jul  5 21:39:28 2024
Коктейль молочный Топтыжка Edge шоколад ультрапастеризованный 3.2%, 200мл	43,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-toptyzka-edge-sokolad-ultrapasterizovannyj-3-2-200ml-3604845	Wed Jul  3 15:02:48 2024	Коктейль молочный Топтыжка Edge шоколад ультрапастеризованный 3.2%, 200мл	Цена34,99 ₽	Топтыжка	84.0	3.0 г	3.2 г	10.8 г	none	True	True	Fri Jul  5 21:39:29 2024
