name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Фарш Мираторг говяжий категории Б охлажденный, 400г	299,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-miratorg-govazij-kategorii-b-ohlazdennyj-400g-4288090	Wed Jul  3 15:04:05 2024	Фарш Мираторг говяжий категории Б охлажденный, 400г	Цена299,99 ₽	Мираторг	360.0	16.0 г	18.0 г	0.0 г	none	True	True	Fri Jul  5 22:58:40 2024
Фарш Говяжий мясной рубленый категории А охлаждённый	659,99 ₽/кг	none	https://www.perekrestok.ru/cat/145/p/fars-govazij-masnoj-rublenyj-kategorii-a-ohlazdennyj-4323844	Wed Jul  3 15:04:05 2024	Фарш Говяжий мясной рубленый категории А охлаждённый	Цена659,99 ₽	none	199.0	16.0 г	15.0 г	0.0 г	Говядина. 	True	True	Fri Jul  5 22:58:41 2024
Фарш говяжий Самсон охлаждённый, 400г	379,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-govazij-samson-ohlazdennyj-400g-3205753	Wed Jul  3 15:04:05 2024	Фарш говяжий Самсон охлаждённый, 400г	Цена379,99 ₽	Самсон	132.0	16.0 г	7.5 г	0.0 г	Говядина, вода, декстроза, соль, регуляторы кислотности (цитраты натрия, ацетаты натрия), антиокислитель (аскорбат натрия), концентрат на основе лимонного сока (сок лимона, консервант - пиросульфит натрия). Продукт может содержать следы горчицы, злаков, кунжута, молока, сельдерея, сои, яиц и продуктов их переработки. Произведено с использованием замороженного сырья. 	True	True	Fri Jul  5 22:58:42 2024
Фарш говяжий Самсон охлаждённый, 750г	679,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/145/p/fars-govazij-samson-ohlazdennyj-750g-3380541	Wed Jul  3 15:04:05 2024	Фарш говяжий Самсон охлаждённый, 750г	Цена679,99 ₽	Самсон	132.0	16.0 г	7.5 г	0.0 г	Говядина 	True	True	Fri Jul  5 22:58:42 2024
Фарш говяжий Великолукский Мясокомбинат охлаждённый категория А, 400г	249,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-govazij-velikolukskij-masokombinat-ohlazdennyj-kategoria-a-400g-3659524	Wed Jul  3 15:04:05 2024	Фарш говяжий Великолукский Мясокомбинат охлаждённый категория А, 400г	Цена249,99 ₽	Великолукский МК	230.0	16.0 г	18.0 г	0.0 г	Говядина, молочный белок, антиокислители: аскорбиновая кислота, аскорбат натрия 	True	True	Fri Jul  5 22:58:43 2024
Фарш свиной Черкизово Крестьянский охлаждённый, 400г	149,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-svinoj-cerkizovo-krestanskij-ohlazdennyj-400g-4245450	Wed Jul  3 15:04:05 2024	Фарш свиной Черкизово Крестьянский охлаждённый, 400г	Цена149,99 ₽	Черкизово	239.0	17.0 г	19.0 г	0.0 г	Мясо свинины механической обвалки, свинина, вода, говяжий белок, регуляторы кислотности (ацетаты натрия, цитраты натрия), соль, антиокислители (лимонная кислота, аскорбат натрия), лимонный сок (сок лимона, консервант (пиросульфит натрия)), красители (красный свекольный, сахарный колер III). 	True	True	Fri Jul  5 22:58:44 2024
Фарш Ближние Горки деревенский охлаждённый категория В, 400г	169,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-bliznie-gorki-derevenskij-ohlazdennyj-kategoria-v-400g-3681614	Wed Jul  3 15:04:05 2024	Фарш Ближние Горки деревенский охлаждённый категория В, 400г	Цена179,99 ₽	Ближние горки	454.0	12.0 г	30.0 г	0.0 г	Свинина, говядина, животный белок (свиной), антиокислители (аскорбат натрия, аскорбиновая кислота, экстракт розмарина), регуляторы кислотности (ацетат натрия, цитрат натрия), соль, концентрат пищевой свекольный, гемоглобин свиной сухой, краситель (экстракт паприки). На производстве используются горчица, сельдерей, молоко, злаки и продукты их переработки. 	True	True	Fri Jul  5 22:58:45 2024
Фарш свино-говяжий Мираторг домашний, 400г	229,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-svino-govazij-miratorg-domasnij-400g-3673806	Wed Jul  3 15:04:05 2024	Фарш свино-говяжий Мираторг домашний, 400г	Цена219,99 ₽	Мираторг	310.0	14.0 г	28.0 г	0.0 г	Свинина, говядина. 	True	True	Fri Jul  5 22:58:46 2024
Фарш Перекрёсток домашний	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-domasnij-7335	Wed Jul  3 15:04:05 2024	Фарш Перекрёсток домашний	Цена499,99 ₽	Собственное производство Перекрёсток	203.0	17.0 г	15.0 г	0.0 г	Говядина 50%, свинина 50%. 	True	True	Fri Jul  5 22:58:47 2024
Фарш Домашний из свинины и говядины категории Б охлажденный Маркет, 400г	199,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-domasnij-iz-svininy-i-govadiny-kategorii-b-ohlazdennyj-market-400g-4299556	Wed Jul  3 15:04:05 2024	Фарш Домашний из свинины и говядины категории Б охлажденный Маркет, 400г	Цена199,99 ₽	Маркет	320.0	12.0 г	30.0 г	0.0 г	Свинина, говядина, антиокислитель (аскорбиновая кислота). 	True	True	Fri Jul  5 22:58:48 2024
Фарш Самсон домашний охлаждённый, 400г	259,00 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-samson-domasnij-ohlazdennyj-400g-3205754	Wed Jul  3 15:04:05 2024	Фарш Самсон домашний охлаждённый, 400г	Цена259,99 ₽	Самсон	139.5	18.0 г	10.0 г	0.0 г	Свинина, вода, говядина, декстроза, соль, регуляторы кислотности (цитраты натрия, ацетаты натрия), антиокислители (аскорбат натрия ,изоаскорбат натрия), концентрат на основе лимонного сока (сок лимона, консервант - сульфит натрия). 	True	True	Fri Jul  5 22:58:49 2024
Фарш Черкизово домашний полуфабрикат охлаждённый, 400г	159,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-cerkizovo-domasnij-polufabrikat-ohlazdennyj-400g-3430735	Wed Jul  3 15:04:05 2024	Фарш Черкизово домашний полуфабрикат охлаждённый, 400г	Цена159,99 ₽	Черкизово	303.0	15.0 г	27.0 г	0.0 г	Свинина, вода, говядина, говяжий белок, ароматизаторы, красители (красный свекольный, сахарный колер III). Продукт может содержать следы: горчицы, глютена, кунжута, молока, орехов, сельдерея, сои, яиц, а также белка птицы. 	True	True	Fri Jul  5 22:58:51 2024
Фарш Мираторг любительский охлаждённый, 400г	239,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-miratorg-lubitelskij-ohlazdennyj-400g-3646881	Wed Jul  3 15:04:05 2024	Фарш Мираторг любительский охлаждённый, 400г	Цена239,99 ₽	Мираторг	250.0	0.0 г	0.0 г	0.0 г	Свинина, говядина. 	True	True	Fri Jul  5 22:58:51 2024
