name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Котлеты Мираторг По-Киевски запеченные замороженные, 360г	319,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-po-kievski-zapecennye-zamorozennye-360g-4268998	Wed Jul  3 15:04:27 2024	Котлеты Мираторг По-Киевски запеченные замороженные, 360г	Цена299,99 ₽	Мираторг	227.1	9.4 г	16.1 г	11.2 г	Филе грудки кур замороженное, вода питьевая, сухари панировочные (мука пшеничная, вода питьевая, соль, дрожжи, куркума,  краситель анатто), масло сливочное (содержит молоко), масло растительное подсолнечное рафинированное дезодорированное, мука пшеничная, соль, загустители (е461, е466, е1422, е464, е412, е1412), кожа тушек кур замороженная, крахмалы (картофельный, гороховый), белок соевый, регуляторы кислотности (е500(i), е576), эмульгатор е471, антиокислитель аскорбиновая кислота, ароматизаторы натуральные, петрушка рубленая сушеная. 	True	True	Fri Jul  5 23:13:17 2024
Котлеты Мираторг  Бургер Классический замороженные, 360г	289,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-burger-klassiceskij-zamorozennye-360g-4141124	Wed Jul  3 15:04:27 2024	Котлеты Мираторг  Бургер Классический замороженные, 360г	Цена289,99 ₽	Мираторг	360.0	12.0 г	35.0 г	0.0 г	Говядина, вода, соль поваренная, перец черный, чеснок, лук. 	True	True	Fri Jul  5 23:13:18 2024
Котлета Ес Агро Чикенбургер для бургера, 300г	169,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	Wed Jul  3 15:04:27 2024	Котлета Ес Агро Чикенбургер для бургера, 300г	Цена169,99 ₽	Ес Агро	235.0	15.0 г	19.0 г	0.5 г	Филе цыпленка-бройлера, вода, соль. 	True	True	Fri Jul  5 23:13:19 2024
Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	299,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/60/p/frikadelki-vesko-iz-govadiny-i-kuricy-kategorii-b-zamorozennye-450g-4336016	Wed Jul  3 15:04:27 2024	Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	Цена299,99 ₽	Веско	240.0	17.4 г	18.0 г	6.0 г	Говядина, филе куриной грудки, хлеб бездрожжевой (мука пшеничная хлебопекарная высшего сорта, вода питьевая очищенная, закваска (мука пшеничная первого сорта, мука ржаная обдирная, вода питьевая очищенная), сахар, соль пищевая), вода питьевая, лук репчатый свежий, яичный белок пастеризованный охлажденный, соль пищевая, перец черный молотый. 	True	True	Fri Jul  5 23:13:20 2024
Котлеты Морозко из мяса молодых бычков, 450г	199,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/60/p/kotlety-morozko-iz-masa-molodyh-byckov-450g-43686	Wed Jul  3 15:04:27 2024	Котлеты Морозко из мяса молодых бычков, 450г	Цена249,99 ₽	Наши Молодцы	220.0	12.4 г	13.9 г	11.5 г	Говядина (мясо бычков), вода питьевая, лук репчатый, мука соевая, шпик, мука пшеничная хлебопекарная высшего сорта, сухари панировочные (мука пшеничная хлебопекарная высшего сорта, вода питьевая, сахар, масло растительное, дрожжи хлебопекарные прессованные, соль), соль, натуральное пищевое волокно, чеснок, перец черный. 	True	True	Fri Jul  5 23:13:21 2024
Наггетсы Мираторг Классические куриные, 300г	199,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-miratorg-klassiceskie-kurinye-300g-3271973	Wed Jul  3 15:04:27 2024	Наггетсы Мираторг Классические куриные, 300г	Цена209,99 ₽	Мираторг	204.3	12.6 г	9.0 г	18.3 г	Филе грудки куриное, филе окорочка куриного с кожей, вода питьевая, мука (пшеничная, кукурузная), крахмал (картофельный, кукурузный, тапиоковый), волокна пищевые (клетчатка соевая, пшеничная), масло подсолнечное, белок соевый, загустители (метилцеллюлоза, гуаровая камедь), соль, регуляторы кислотности (карбонат натрия, глюконат натрия). дрожжи, куркума, паприка, красители (аннато, экстракт паприки), экстракт дрожжевой (содержит ячмень), антиокислитель аскорбиновая кислота, глютен пшеничный, ароматизатор натуральный. 	True	True	Fri Jul  5 23:13:22 2024
Наггетсы Мираторг куриные, 250г	159,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-miratorg-kurinye-250g-4279631	Wed Jul  3 15:04:27 2024	Наггетсы Мираторг куриные, 250г	Цена159,99 ₽	Мираторг	192.2	12.7 г	9.3 г	14.5 г	Филе грудки кур замороженное, вода питьевая, масло растительное подсолнечное рафинированное дезодорированное, мука (пшеничная, кукурузная), крупка пшеничная, ароматизаторы натуральные (содержат глютен), соль, глютен пшеничный, крахмалы (картофельный, кукурузный, тапиоковый, рисовый, пшеничный, гороховый), дрожжи, сахар, специи молотые (сельдерей, перец черный, перец белый), экстракт специй, лимон сухой, разрыхлители (карбонат натрия, гидрокарбонат натрия), кислота аскорбиновая. 	True	True	Fri Jul  5 23:13:23 2024
Палочки рыбные из филе минтая в панировке мороженые Маркет, 250г	169,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/60/p/palocki-rybnye-iz-file-mintaa-v-panirovke-morozenye-market-250g-4287737	Wed Jul  3 15:04:27 2024	Палочки рыбные из филе минтая в панировке мороженые Маркет, 250г	Цена169,99 ₽	Маркет	200.0	11.0 г	9.5 г	18.0 г	Филе минтая, сухари панировочные (пшеничная мука, специи (паприка, куркума), соль, дрожжи), вода, рапсовое масло, мука пшеничная хлебопекарная, картофельный крахмал, соль поваренная пищевая (содержит агент антислеживающий е536). 	True	True	Fri Jul  5 23:13:24 2024
Наггетсы Вязанка Сливушки с филе индейки, 250г	129,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-vazanka-slivuski-s-file-indejki-250g-4057693	Wed Jul  3 15:04:27 2024	Наггетсы Вязанка Сливушки с филе индейки, 250г	Цена129,99 ₽	Вязанка	230.0	9.0 г	10.0 г	25.0 г	Филе куриной грудки, мясо цыпленка-бройлера рубленое, филе грудки индейки, мука пшеничная хлебопекарная высший сорт, вода питьевая, соль, сливки сухие, молоко сухое, масло растительное, крахмал кукурузный, крахмал картофельный, овощи сушеные, сухари панировочные (мука пшеничная хлебопекарная первый сорт, вода питьевая, крупа манная), соевый белок, растительная клетчатка, яичные продукты, сахар, стабилизатор: пирофосфаты, регуляторы кислотности (лимонная кислота, уксусная кислота), антиокислители (аскорбиновая кислота, экстракты розмарина), пряности и экстракты пряностей (перец черный, перец белый, сельдерей, экстракт зеленого чая), краситель: аннато. в заботе о вашем здоровье, мы обязаны указать возможность содержания в наших продуктах следующих аллергенов: горчица, кунжут, орехи и продукты их переработки. 	True	True	Fri Jul  5 23:13:25 2024
Наггетсы Мираторг Хрустящие куриные, 300г	209,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-miratorg-hrustasie-kurinye-300g-3271985	Wed Jul  3 15:04:27 2024	Наггетсы Мираторг Хрустящие куриные, 300г	Цена199,99 ₽	Мираторг	206.0	12.7 г	9.0 г	18.7 г	Филе грудки куриное, филе окорочка куриного с кожей, вода питьевая, мука(пшеничная, кукурузная), крахмал(картофельный, кукурузный, тапиоковый), волокна пищевые (клетчатка соевая, пшеничная), масло подсолнечное, белок соевый, загустители(метилцеллюлоза, гуаровая камедь), соль, регуляторы кислотности (карбонат натрия, глюконат натрия), дрожжи, куркума, паприка, красители (аннато, экстракт паприки), экстракт дрожжевой 9содержит ячмень), антиокислитель аскорбинвая кислота, глютен пшеничный, ароматизатор натуральный. на предприятии используются продукты переработки: молока, яиц, горчицы, сои, сельдерея, злаков и сульфитов. 	True	True	Fri Jul  5 23:13:26 2024
