name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Семечки От Мартина отборные жареные, 100г	79,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-zarenye-100g-3072541	Wed Jul  3 15:05:10 2024	Семечки От Мартина отборные жареные, 100г	Цена79,99 ₽	От Мартина	578.0	20.7 г	52.9 г	5.0 г	Обжаренные семена подсолнуха. 	True	True	Fri Jul  5 23:43:30 2024
Семечки От Мартина чёрные отборные жареные с морской солью, 100г	59,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-cernye-otbornye-zarenye-s-morskoj-solu-100g-3469303	Wed Jul  3 15:05:10 2024	Семечки От Мартина чёрные отборные жареные с морской солью, 100г	Цена59,99 ₽	От Мартина	578.0	20.7 г	52.9 г	5.0 г	Семена подсолнечника, морская соль. 	True	True	Fri Jul  5 23:43:31 2024
Семечки подсолнечника Джинн жареные солёные, 100г	99,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-dzinn-zarenye-solenye-100g-4066289	Wed Jul  3 15:05:10 2024	Семечки подсолнечника Джинн жареные солёные, 100г	Цена104,99 ₽	Джинн	660.0	27.0 г	58.0 г	9.0 г	Семена подсолнечника. 	True	True	Fri Jul  5 23:43:32 2024
Семечки От Мартина отборные жареные, 200г	149,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-zarenye-200g-3403508	Wed Jul  3 15:05:10 2024	Семечки От Мартина отборные жареные, 200г	Цена149,99 ₽	От Мартина	578.0	20.7 г	52.9 г	5.0 г	Обжаренные семена подсолнуха. 	True	True	Fri Jul  5 23:43:33 2024
Семечки подсолнуха От Мартина полосатые с солью, 150г	134,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnuha-ot-martina-polosatye-s-solu-150g-3661124	Wed Jul  3 15:05:10 2024	Семечки подсолнуха От Мартина полосатые с солью, 150г	Цена134,99 ₽	От Мартина	386.0	17.1 г	34.5 г	5.4 г	Семена подсолнечника обжаренные с солью. 	True	True	Fri Jul  5 23:43:34 2024
Семечки От Мартина отборные, 200г	149,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-200g-3669122	Wed Jul  3 15:05:10 2024	Семечки От Мартина отборные, 200г	Цена149,99 ₽	От Мартина	578.0	20.7 г	52.9 г	5.0 г	Семена подсолнечника, морская соль. 	True	True	Fri Jul  5 23:43:35 2024
Семечки подсолнечника жареные Пр!ст, 100г	12,80 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-zarenye-pr-st-100g-3473272	Wed Jul  3 15:05:10 2024	Семечки подсолнечника жареные Пр!ст, 100г	Цена13,90 ₽	Пр!ст	710.0	25.5 г	65.3 г	5.8 г	Семена подсолнечника обжаренные. 	True	True	Fri Jul  5 23:43:35 2024
Семечки От Мартина белые солёные, 100г	85,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-belye-solenye-100g-3348828	Wed Jul  3 15:05:10 2024	Семечки От Мартина белые солёные, 100г	Цена91,99 ₽	От Мартина	386.0	17.1 г	34.5 г	5.4 г	Семена подсолнечника, поваренная пищевая соль. 	True	True	Fri Jul  5 23:43:36 2024
Семечки подсолнечника жареные Пр!ст, 300г	75,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-zarenye-pr-st-300g-3473273	Wed Jul  3 15:05:10 2024	Семечки подсолнечника жареные Пр!ст, 300г	Цена75,99 ₽	Пр!ст	710.0	25.5 г	65.3 г	5.8 г	Семена подсолнечника обжаренные. 	True	True	Fri Jul  5 23:43:37 2024
Семечки От Мартина отборные, 500г	369,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-500g-3624461	Wed Jul  3 15:05:10 2024	Семечки От Мартина отборные, 500г	Цена369,99 ₽	От Мартина	578.0	20.7 г	52.9 г	5.0 г	Обжаренные семена подсолнуха. 	True	True	Fri Jul  5 23:43:39 2024
Семечки подсолнечника От Атамана жареные с морской солью, 100г	49,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-ot-atamana-zarenye-s-morskoj-solu-100g-3613320	Wed Jul  3 15:05:10 2024	Семечки подсолнечника От Атамана жареные с морской солью, 100г	Цена49,99 ₽	От Атамана	601.0	20.7 г	52.9 г	10.5 г	Семечки подсолнечника обжаренные, морская соль. 	True	True	Fri Jul  5 23:43:41 2024
Семечки От Мартина отборные микс жареные солёные с несолёными, 200г	149,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-miks-zarenye-solenye-s-nesolenymi-200g-3669391	Wed Jul  3 15:05:10 2024	Семечки От Мартина отборные микс жареные солёные с несолёными, 200г	Цена159,99 ₽	От Мартина	578.0	20.7 г	52.9 г	5.0 г	Обжаренные cемена подсолнечника, морская соль. 	True	True	Fri Jul  5 23:43:44 2024
Семена тыквы очищенные  Зелёная Линия, 150г	229,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/161/p/semena-tykvy-ocisennye-zelenaa-linia-150g-4116888	Wed Jul  3 15:05:10 2024	Семена тыквы очищенные  Зелёная Линия, 150г	Цена229,99 ₽	Зелёная Линия	600.0	29.0 г	46.7 г	13.1 г	Семена тыквы очищенные. 	True	True	Fri Jul  5 23:43:45 2024
Семечки тыквенные От Мартина жареные неочищенные с солью, 100г	159,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-tykvennye-ot-martina-zarenye-neocisennye-s-solu-100g-3503953	Wed Jul  3 15:05:10 2024	Семечки тыквенные От Мартина жареные неочищенные с солью, 100г	Цена169,99 ₽	От Мартина	540.0	28.0 г	12.9 г	45.8 г	Семена тыквы неочищенные жареные, пищевая сроь. 	True	True	Fri Jul  5 23:43:46 2024
Семена тыквы обжаренные солёные Маркет, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semena-tykvy-obzarennye-solenye-market-100g-4302861	Wed Jul  3 15:05:10 2024	Семена тыквы обжаренные солёные Маркет, 100г	Цена149,99 ₽	Маркет	555.0	16.0 г	47.0 г	17.0 г	Семена тыквы обжаренные, соль пищевая. 	True	True	Fri Jul  5 23:43:47 2024
Семечки тыквенные Семушка жареные 80г	209,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/161/p/semecki-tykvennye-semuska-zarenye-80g-3363400	Wed Jul  3 15:05:10 2024	Семечки тыквенные Семушка жареные 80г	Цена189,99 ₽	Семушка	596.0	29.0 г	45.7 г	13.1 г	Семена тыквы жареные, неочищенные. 	True	True	Fri Jul  5 23:43:48 2024
