name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сырок творожный с ванилью глазированный 26% Молочный знак, 40г	49,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-s-vanilu-glazirovannyj-26-molocnyj-znak-40g-4208434	Wed Jul  3 15:02:35 2024	Сырок творожный с ванилью глазированный 26% Молочный знак, 40г	Цена47,99 ₽	Молочный знак	415.1	7.4 г	27.9 г	33.6 г	Творог, сахар, глазурь кондитерская (сахар, заменитель масла какао лауринового типа (рафинированное дезодорированное кокосовое масло, эмульгатор: лецитины), какао-порошок, эмульгатор: лецитины (лецитин подсолнечный), ароматизатор «ванилин»), масло сливочное, экстракт ванили. 	True	True	Fri Jul  5 21:26:22 2024
Сырок творожный с вареной сгущенкой глазированный 26% Молочный знак, 40г	51,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-s-varenoj-sgusenkoj-glazirovannyj-26-molocnyj-znak-40g-4208433	Wed Jul  3 15:02:35 2024	Сырок творожный с вареной сгущенкой глазированный 26% Молочный знак, 40г	Цена47,99 ₽	Молочный знак	409.7	7.2 г	26.1 г	36.5 г	Творог, глазурь кондитерская (сахар, заменитель масла какао лауринового типа (рафинированное дезодорированное кокосовое масло, эмульгатор: лецитины), какао-порошок, эмульгатор: лецитины (лецитин подсолнечный), ароматизатор «ванилин»), сахар, масло сливочное, молоко сгущенное с сахаром варёное (нормализованное молоко, сахар (сахароза)). 	True	True	Fri Jul  5 21:26:23 2024
Сырок А.Ростагрокомплекс Картошка творожный глазированный в молочном шоколаде 20%, 50г	75,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/656/p/syrok-a-rostagrokompleks-kartoska-tvoroznyj-glazirovannyj-v-molocnom-sokolade-20-50g-4227635	Wed Jul  3 15:02:35 2024	Сырок А.Ростагрокомплекс Картошка творожный глазированный в молочном шоколаде 20%, 50г	Цена79,99 ₽	А.Ростагрокомплекс	413.0	8.1 г	23.8 г	41.6 г	Творог, шоколад молочный (сахар, какао-масло, сухое цельное молоко, какао тёртое, эмульгатор – лецитины (соевый лецитин), ароматизатор натуральный: ваниль), сахар, галеты (мука пшеничная в/с, дрожжи хлебопекарные, сахар, соль, разрыхлители: гидрокарбонат аммония, гидрокарбонат натрия; регулятор кислотности: молочная кислота, антиокислитель: пиросульфит натрия), масло сливочное, молоко цельное сгущённое с сахаром (молоко нормализованное, сахар (сахароза)), какао-порошок, ароматизатор. Содержит глютен и сульфиты. Может содержать следы яичного белка. 	True	True	Fri Jul  5 21:26:23 2024
Сырок творожный Свитлогорье с какао глазированный 26%, 50г	67,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-svitlogore-s-kakao-glazirovannyj-26-50g-3463779	Wed Jul  3 15:02:35 2024	Сырок творожный Свитлогорье с какао глазированный 26%, 50г	Цена67,99 ₽	Свитлогорье	416.0	8.7 г	27.5 г	33.5 г	Творог, сахар-песок, кондитерская глазурь на заменителе какао-масла (сахар-песок, заменитель какао-масла, какао-порошок, эмульгатор-лецитин, ароматизатор пищевой) сливочное масло, какао-порошок, ароматизатор пищевой. 	True	True	Fri Jul  5 21:26:24 2024
Сырок творожный Ростагроэкспорт Картошка глазированный 20%, 40г	37,49 ₽/шт	40 гр	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-rostagroeksport-kartoska-glazirovannyj-20-40g-3648192	Wed Jul  3 15:02:35 2024	Сырок творожный Ростагроэкспорт Картошка глазированный 20%, 40г	Цена37,49 ₽	РАЭ	420.0	7.0 г	25.6 г	40.4 г	Творог, кондитерская глазурь (сахар, заменитель масла какао нетемперируемый лауринового типа (фракционированное, гидрогенизированное пальмоядровое масло), какао-порошок, эмульгатор – лецитин соевый, ароматизатор “Ванилин”), сахар-песок, печенье сахарное (мука пшеничная высшего сорта, масло подсолнечное рафинированное дезодорированное, сироп глюкозно-фруктозный, сахар-песок, патока крахмальная, вода питьевая, разрыхлители: гидрокарбонат натрия, карбонат аммония, соль поваренная пищевая, ароматизатор “Ванилин”, консервант: сорбиновая кислота), масло сливочное, продукт молочный сгущенный с сахаром (сахар-песок (сахароза), вода питьевая, молоко сухое обезжиренное, масло сливочное), какао-порошок, ароматизатор. 	True	True	Fri Jul  5 21:26:25 2024
Сырок Творобушки Шоколад творожный глазированный с какао 20%, 40г	37,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/656/p/syrok-tvorobuski-sokolad-tvoroznyj-glazirovannyj-s-kakao-20-40g-4290208	Wed Jul  3 15:02:35 2024	Сырок Творобушки Шоколад творожный глазированный с какао 20%, 40г	Цена31,99 ₽	Творобушки	344.6	7.2 г	21.0 г	31.7 г	Творог, глазурь кондитерская какаосодержащая молочная (сахар, заменитель масла какао лауринового типа), молоко сухое обезжиренное, сыворотка молочная сухая, какао - порошок. 	True	True	Fri Jul  5 21:26:26 2024
Сырок творожный Свитлогорье Palermo с твёрдым сыром глазированный в молочном шоколаде 23%, 55г	75,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-svitlogore-palermo-s-tverdym-syrom-glazirovannyj-v-molocnom-sokolade-23-55g-4226011	Wed Jul  3 15:02:35 2024	Сырок творожный Свитлогорье Palermo с твёрдым сыром глазированный в молочном шоколаде 23%, 55г	Цена75,99 ₽	Свитлогорье	395.0	9.8 г	25.6 г	31.4 г	Творог (молоко цельное, молоко восстановленное из сухого молока, масло сливочное, закваска, молокосвёртывающий ферментный препарат), сахар белый, шоколад молочный (сахар, какао-масло, молоко сухое цельное, какао тертое, эмульгатор: соевый лицетин, ароматизатор натуральный-ваниль), сыр твердый «Палермо» (молоко нормализованное пастеризованное, соль пищевая, закваска культур молочнокислых микроорганизмов, молокосвёртывающий ферментный препарат микробного происхождения, уплотнитель – хлорид кальция), масло сливочное. 	True	True	Fri Jul  5 21:26:27 2024
Сырок Коровка из Корёновки в молочном шоколаде 23%, 50г	59,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/656/p/syrok-korovka-iz-korenovki-v-molocnom-sokolade-23-50g-3612838	Wed Jul  3 15:02:35 2024	Сырок Коровка из Корёновки в молочном шоколаде 23%, 50г	Цена62,49 ₽	Коровка из Кореновки	385.0	7.0 г	25.0 г	33.0 г	"Творог, сливки, масло сливочное, сахар, молочный шоколад, экстракт ванили. Состав молочного шоколада: сахар, какао тертое, масло какао, сухое цельное молоко, сухое обезжиренное молоко, сухая молочная сыворотка, обезвоженный молочный жир, эмульгатор лецитин, эмульгатор Е476, ароматизатор ""Ванилин"" идентичный натуральному. "	True	True	Fri Jul  5 21:26:28 2024
Сырок Коровка из Корёновки в тёмном шоколаде 23%, 50г	59,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/656/p/syrok-korovka-iz-korenovki-v-temnom-sokolade-23-50g-3612839	Wed Jul  3 15:02:35 2024	Сырок Коровка из Корёновки в тёмном шоколаде 23%, 50г	Цена59,99 ₽	Коровка из Кореновки	385.0	7.0 г	25.0 г	33.0 г	"Творог, сливки, масло сливочное, сахар, темный шоколад, экстракт ванили. Состав темного шоколада: сахар, какао тертое, масло какао, эмульгатор соевый лецитин, ароматизатор ""Ванилин"" идентичный натуральному, эмульгатор Е476. "	True	True	Fri Jul  5 21:26:29 2024
Сырок А.Ростагрокомплекс Status фисташка творожный глазированный в молочном шоколаде 26%, 50г	87,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/656/p/syrok-a-rostagrokompleks-status-fistaska-tvoroznyj-glazirovannyj-v-molocnom-sokolade-26-50g-4227621	Wed Jul  3 15:02:35 2024	Сырок А.Ростагрокомплекс Status фисташка творожный глазированный в молочном шоколаде 26%, 50г	Цена109,99 ₽	А.Ростагрокомплекс	429.4	8.5 г	30.2 г	30.9 г	Творог, шоколад молочный (сахар, какао- масло, сухое цельное молоко, какао тертое, эмульгатор –лецитины ( соевый лецитин), ароматизатор натуральный: ваниль), сахар, масло сливочное, ядра орехов фисташки обжаренные дроблёные карамелизованные (орехи, сахар), паста ядер орехов фисташки обжаренных, ароматизатор натуральный. 	True	True	Fri Jul  5 21:26:30 2024
