name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Ветчина варёная Империя Вкуса из индейки, 400г	259,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/783/p/vetcina-varenaa-imperia-vkusa-iz-indejki-400g-2072717	Wed Jul  3 15:04:11 2024	Ветчина варёная Империя Вкуса из индейки, 400г	Цена199,99 ₽	Империя Вкуса	83.0	9.0 г	3.0 г	5.0 г	Мясо птицы (филе куриное, мясо куриное механической обвалки, филе грудки индейки), вода, картофельный крахмал, стабилизатор (каррагинан), регуляторы кислотности (трифосфаты, ацетаты натрия), животный белок, молочная сыворотка, антиокислители (изоаскорбат натрия, лимонная кислота), соль, говяжий гемоглобин, краситель (кармины), фиксатор окраски - нитрит натрия. 	True	True	Fri Jul  5 23:03:51 2024
Ветчина Ла Марко из свинины варёная Маркет Collection, 120г	144,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/783/p/vetcina-la-marko-iz-svininy-varenaa-market-collection-120g-4322791	Wed Jul  3 15:04:11 2024	Ветчина Ла Марко из свинины варёная Маркет Collection, 120г	Цена219,99 ₽	Market Collection	216.0	9.0 г	20.0 г	0.0 г	Свинина, вода, крахмал картофельный, посолочная смесь (соль, фиксатор окраски е250, агенты антислёживающие: е536, е551), регулятор кислотности (е261, е262, е331, е451), антиокислители (е301,е325), стабилизаторы (е450,452), горчица, перец черный, декстроза, ароматизатор (экстракт мускатного ореха). 	True	True	Fri Jul  5 23:03:52 2024
Ветчина варёная Клинский Для тостов в нарезке, 120г	144,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/783/p/vetcina-varenaa-klinskij-dla-tostov-v-narezke-120g-3639626	Wed Jul  3 15:04:11 2024	Ветчина варёная Клинский Для тостов в нарезке, 120г	Цена144,99 ₽	Клинский МК	210.0	12.0 г	18.0 г	210.0 г	Свинина, вода, комплексная пищевая добавка (стабилизатор E407, регулятор кислотности E450(i), E451(i), крахмал картофельный, пищевые волокна (кукуруза), сахар, антиокислитель E300, регуляторы кислотности E262(i), E331(iii), экстракты пряностей, ароматизатор), соль нитритная (соль, фиксатор окраски – нитрит натрия), усилитель вкуса и аромата E621. 	True	True	Fri Jul  5 23:03:54 2024
Ветчина варёная Мясная История из цельного окорока свинины категория А, 200г	279,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/783/p/vetcina-varenaa-masnaa-istoria-iz-celnogo-okoroka-svininy-kategoria-a-200g-4145487	Wed Jul  3 15:04:11 2024	Ветчина варёная Мясная История из цельного окорока свинины категория А, 200г	Цена249,99 ₽	Мясная история	95.0	17.0 г	3.0 г	0.0 г	Свинина, вода питьевая, нитритно-посолочная смесь (соль, фиксатор окраски (нитрит натрия)), мальтодекстрин, молочный белок, регуляторы кислотности (пирофосфат натрия, трифосфат натрия), загустители (каррагинан, конжак), декстроза, антиокислители (аскорбат натрия, лимонная кислота), пряности (белый перец), ароматизаторы. 	True	True	Fri Jul  5 23:03:55 2024
Ветчина Окраина Балтийская из свинины варёная категории Б	1 049,00 ₽/кг	none	https://www.perekrestok.ru/cat/783/p/vetcina-okraina-baltijskaa-iz-svininy-varenaa-kategorii-b-4324682	Wed Jul  3 15:04:11 2024	Ветчина Окраина Балтийская из свинины варёная категории Б	Цена1 199,00 ₽	Окраина	155.0	14.0 г	11.0 г	0.0 г	Свинина, вода, крахмал картофельный,  белковый стабилизатор, мальтодекстрин, стабилизатор – пищевые фосфаты (Е450), регулятор кислотности (Е451), загуститель (каррагинан), усилитель вкуса и аромата (глутамат натрия), антиокислитель (аскорбат натрия, лимонная кислота, изоаскорбат натрия), соль нитритная (соль поваренная пищевая, фиксатор окраски- нитрит натрия), сахара, перец черный  молотый, краситель (кармин). На производстве используются: яйцо, горчица, злаки, молоко, сельдерей и продукты их переработки. 	True	True	Fri Jul  5 23:03:56 2024
Ветчина куриная охлаждённая Зелёная Линия, 120г	179,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/783/p/vetcina-kurinaa-ohlazdennaa-zelenaa-linia-120g-4239655	Wed Jul  3 15:04:11 2024	Ветчина куриная охлаждённая Зелёная Линия, 120г	Цена174,99 ₽	Зелёная Линия	120.0	18.0 г	4.0 г	3.0 г	Филе грудки, бедро куриное, вода питьевая, соль пищевая, крахмал кукурузный, экстракт черного перца, экстракт дрожжевой и цитрусовый (пивные дрожжи, лимон, лайм, апельсин, помело). 	True	True	Fri Jul  5 23:03:57 2024
Ветчина Вязанка Филейская Столичная вареная, 450г	219,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/783/p/vetcina-vazanka-filejskaa-stolicnaa-varenaa-450g-4277252	Wed Jul  3 15:04:11 2024	Ветчина Вязанка Филейская Столичная вареная, 450г	Цена219,99 ₽	Вязанка	170.0	12.0 г	14.0 г	0.0 г	СВИНИНА, МЯСО ПТИЦЫ КУСКОВОЕ, щековина свиная, белковый стабилизатор (шкурка свиная, вода питьевая), вода питьевая, крахмал кукурузный, смесь посолочно-нитритная (соль, фиксатор окраски: нитрит натрия), соль, стабилизаторы (пирофосфаты, полифосфаты), регуляторы кислотности (трифосфаты, лактат кальция), загустители (каррагинан из водорослей EUCHEMA, ксантановая камедь), белок животный (свиной, говяжий), виноградный сахар, НАТУРАЛЬНЫЕ ПРЯНОСТИ и экстракты пряностей, антиокислитель: лимонная кислота, краситель: кармины. В продукте возможно наличие следов горчицы, злаков, содержащих глютен и клетчатку, молока, сельдерея, яиц и продуктов их переработки. 	True	True	Fri Jul  5 23:03:58 2024
Ветчина Иней Вкусный Бутерброд из свинины вареная категории Б, 150г	129,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/783/p/vetcina-inej-vkusnyj-buterbrod-iz-svininy-varenaa-kategorii-b-150g-4299227	Wed Jul  3 15:04:11 2024	Ветчина Иней Вкусный Бутерброд из свинины вареная категории Б, 150г	Цена129,99 ₽	Иней	120.0	13.0 г	7.0 г	2.0 г	свинина, вода питьевая, шкурка свиная, нитритно-посолочная смесь (соль, фиксатор окраски (нитрит натрия)), крахмал картофельный, регуляторы кислотности (цитраты натрия, трифосфат натрия), стабилизаторы (каррагинан, ксантановая камедь), пищевые волокна (гороховые, бамбуковые, цитрусовые), антиокислитель (аскорбиновая кислота), декстроза, усилитель вкуса и аромата (глутамат натрия), ароматизатор, краситель (кармины). 	True	True	Fri Jul  5 23:03:59 2024
Ветчина Окраина Балтийская вареная, 400г	459,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/783/p/vetcina-okraina-baltijskaa-varenaa-400g-4302248	Wed Jul  3 15:04:11 2024	Ветчина Окраина Балтийская вареная, 400г	Цена459,99 ₽	Окраина	155.0	14.0 г	11.0 г	0.0 г	свинина, вода, сахара,  стабилизатор – пищевые фосфаты (Е450), загуститель (Е407), усилитель вкуса и аромата (Е621), антиокислитель (лимонная кислота, Е301, Е316), регулятор кислотности (Е451), соль нитритная (соль поваренная пищевая, фиксатор окраски-нитрит натрия), крахмал картофельный, перец черный молотый, краситель (кармин). На производстве используются яйцо, горчица, злаки, молоко и продукты их переработки 	True	True	Fri Jul  5 23:04:00 2024
Ветчина варёная Индилайт Кампана из грудки индейки, 120г	99,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/783/p/vetcina-varenaa-indilajt-kampana-iz-grudki-indejki-120g-4154477	Thu Jul  4 10:31:55 2024	Ветчина варёная Индилайт Кампана из грудки индейки, 120г	Цена99,99 ₽	Индилайт	70.0	12.0 г	2.0 г	1.5 г	Филе грудки индейки, вода, соль, крахмал картофельный, загустители: каррагинан, Е466, каррагинан из водорослей euchema, регуляторы кислотности: пирофосфат натрия, трифосфаты, молочный белок, мальтодекстрин, усилитель вкуса и аромата глутамат натрия, антиокислители: аскорбиновая кислота, аскорбат натрия, изоаскорбат натрия, ферментированная глюкоза, стабилизаторы: цитраты натрия, виноградный сахар, ароматные специи. 	True	True	Fri Jul  5 23:04:00 2024
