name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Стейк из мраморной говядины Мираторг Black Angus Минутка охлаждённый, 190г	299,99 ₽/шт	190 гр	https://www.perekrestok.ru/cat/951/p/stejk-iz-mramornoj-govadiny-miratorg-black-angus-minutka-ohlazdennyj-190g-4090362	Wed Jul  3 15:04:01 2024	Стейк из мраморной говядины Мираторг Black Angus Минутка охлаждённый, 190г	Цена289,99 ₽	Мираторг	230.0	16.0 г	18.0 г	0.0 г	Говядины. 	True	True	Fri Jul  5 22:56:13 2024
Стейк из мраморной говядины Мираторг Канзас без кости категория А охлаждённый, 390г	639,99 ₽/шт	390 гр	https://www.perekrestok.ru/cat/951/p/stejk-iz-mramornoj-govadiny-miratorg-kanzas-bez-kosti-kategoria-a-ohlazdennyj-390g-3935137	Wed Jul  3 15:04:01 2024	Стейк из мраморной говядины Мираторг Канзас без кости категория А охлаждённый, 390г	Цена679,00 ₽	Мираторг	250.0	21.0 г	18.0 г	0.0 г	Говядина. 	True	True	Fri Jul  5 22:56:14 2024
Стейк Минутка из мраморной говядины категории А охлажденный Маркет Collection, 300г	449,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/142/p/stejk-minutka-iz-mramornoj-govadiny-kategorii-a-ohlazdennyj-market-collection-300g-4306231	Wed Jul  3 15:04:01 2024	Стейк Минутка из мраморной говядины категории А охлажденный Маркет Collection, 300г	Цена449,99 ₽	Market Collection	230.0	16.0 г	18.0 г	0.0 г	Мраморная говядина. 	True	True	Fri Jul  5 22:56:15 2024
Стейк из телятины Мираторг Фитнес бескостный категория А охлаждённый, 350г	569,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/951/p/stejk-iz-telatiny-miratorg-fitnes-beskostnyj-kategoria-a-ohlazdennyj-350g-3935135	Wed Jul  3 15:04:01 2024	Стейк из телятины Мираторг Фитнес бескостный категория А охлаждённый, 350г	Цена569,99 ₽	Мираторг	130.0	22.0 г	3.0 г	0.0 г	Телятина. 	True	True	Fri Jul  5 22:56:16 2024
Стейк из говядины Мираторг Рибай, 330г	799,99 ₽/шт	330 гр	https://www.perekrestok.ru/cat/951/p/stejk-iz-govadiny-miratorg-ribaj-330g-4174978	Wed Jul  3 15:04:01 2024	Стейк из говядины Мираторг Рибай, 330г	Цена799,99 ₽	Мираторг	230.0	16.0 г	18.0 г	0.0 г	Говядина. 	True	True	Fri Jul  5 22:56:17 2024
Стейк Рибай из мраморной говядины категории А охлажденный Маркет Collection, 300г	1 199,00 ₽/шт	300 гр	https://www.perekrestok.ru/cat/142/p/stejk-ribaj-iz-mramornoj-govadiny-kategorii-a-ohlazdennyj-market-collection-300g-4306230	Wed Jul  3 15:04:01 2024	Стейк Рибай из мраморной говядины категории А охлажденный Маркет Collection, 300г	Цена1 249,00 ₽	Market Collection	230.0	16.0 г	18.0 г	0.0 г	Мраморная говядина. 	True	True	Fri Jul  5 22:56:18 2024
Стейк говяжий Мираторг Пеппер без кости категория А охлаждённый, 260г	379,99 ₽/шт	260 гр	https://www.perekrestok.ru/cat/951/p/stejk-govazij-miratorg-pepper-bez-kosti-kategoria-a-ohlazdennyj-260g-3991972	Wed Jul  3 15:04:01 2024	Стейк говяжий Мираторг Пеппер без кости категория А охлаждённый, 260г	Цена379,99 ₽	Мираторг	230.0	16.0 г	18.0 г	0.0 г	Говядина. 	True	True	Fri Jul  5 22:56:19 2024
Стейк говяжий Мясо есть! Рибай без кости категория А охлаждённый, 250г	449,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/951/p/stejk-govazij-maso-est-ribaj-bez-kosti-kategoria-a-ohlazdennyj-250g-4005173	Wed Jul  3 15:04:01 2024	Стейк говяжий Мясо есть! Рибай без кости категория А охлаждённый, 250г	Цена459,99 ₽	Мясо есть!	2020.0	19.0 г	14.0 г	0.0 г	Говядина. 	True	True	Fri Jul  5 22:56:20 2024
Стейк говяжий Мираторг Black Angus Баффало без кости категория А охлаждённый, 390г	659,99 ₽/шт	390 гр	https://www.perekrestok.ru/cat/951/p/stejk-govazij-miratorg-black-angus-baffalo-bez-kosti-kategoria-a-ohlazdennyj-390g-3677033	Wed Jul  3 15:04:01 2024	Стейк говяжий Мираторг Black Angus Баффало без кости категория А охлаждённый, 390г	Цена659,99 ₽	Мираторг	230.0	16.0 г	18.0 г	0.0 г	Говядина. 	True	True	Fri Jul  5 22:56:21 2024
Стейк Carnebravo Флэнк мясной категории А, 200г	309,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/142/p/stejk-carnebravo-flenk-masnoj-kategorii-a-200g-4323872	Wed Jul  3 15:04:01 2024	Стейк Carnebravo Флэнк мясной категории А, 200г	Цена369,99 ₽	CARNEBRAVO	109.0	16.0 г	5.0 г	0.0 г	none	True	True	Fri Jul  5 22:56:22 2024
