name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Попкорн солёный Маркет Перекрёсток, 100г	65,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/710/p/popkorn-solenyj-market-perekrestok-100g-3499307	Wed Jul  3 15:03:05 2024	Попкорн солёный Маркет Перекрёсток, 100г	Цена65,99 ₽	Маркет	460.0	6.0 г	27.0 г	48.0 г	Зерно кукурузы, масло растительное пальмовое, соль поваренная пищевая, краситель: каротины, антиокислитель: альфа-токоферол. 	True	True	Fri Jul  5 21:57:43 2024
Попкорн Трям Соленый, 130г	60,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/710/p/popkorn-tram-solenyj-130g-4295342	Wed Jul  3 15:03:05 2024	Попкорн Трям Соленый, 130г	Цена65,99 ₽	none	292.0	10.0 г	5.8 г	50.0 г	Зерно кукурузы, масло подсолнечное рафинированное, соль пищевая. 	True	True	Fri Jul  5 21:57:44 2024
Попкорн сырный Маркет Перекрёсток, 85г	61,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/710/p/popkorn-syrnyj-market-perekrestok-85g-3499306	Wed Jul  3 15:03:05 2024	Попкорн сырный Маркет Перекрёсток, 85г	Цена65,99 ₽	Маркет	460.0	6.0 г	27.0 г	48.0 г	Зерно кукурузы, масло растительное пальмовое, соль поваренная пищевая, ароматизатор натуральный сыр, ароматизатор натуральный чеддер, носитель: е1422, усилитель вкуса и аромата: е621, эмульгатор: соевый лецитин, краситель: каротины, антиокислитель: альфа-токоферол. 	True	True	Fri Jul  5 21:57:45 2024
Попкорн Corincorn Сладко-соленая карамель зерно для СВЧ, 125г	69,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/710/p/popkorn-corincorn-sladko-solenaa-karamel-zerno-dla-svc-125g-4244958	Wed Jul  3 15:03:05 2024	Попкорн Corincorn Сладко-соленая карамель зерно для СВЧ, 125г	Цена69,99 ₽	CorinCorn	501.0	3.9 г	30.6 г	52.5 г	Зерно кукурузы, масло растительное кокосовое, пищевая добавка е953 «изомальт», глюкоза, соль пищевая, эмульгатор лецитин соевый е322, жир растительный специального назначения, подсластитель аспасвит 185, ароматизатор ванилин, ароматизатор «ирисо-сливочный», краситель е172. продукт может содержать следы молока и продукты его переработки. 	True	True	Fri Jul  5 21:57:46 2024
Попкорн Reeel Четыре Сыра солёный, 30г	64,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-cetyre-syra-solenyj-30g-4324734	Wed Jul  3 15:03:05 2024	Попкорн Reeel Четыре Сыра солёный, 30г	Цена77,99 ₽	Reeel	466.0	8.7 г	25.6 г	50.1 г	Зерно кукурузы, масло растительное кокосовое, комплексная пищевая добавка «четыре сыра» (сыворотка молочная, сырный порошок (сыр «пармезан», сыр «российский», сыр «белый ароматный», сыр эмменталер), соль поваренная, мальтодекстрин, ароматизатор натуральный «эмменталер», лактоза, дрожжевой экстракт, красители: экстракт паприки, куркумин), соль пищевая. 	True	True	Fri Jul  5 21:57:47 2024
Попкорн Holy Corn сладко-соленый, 30г	63,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/710/p/popkorn-holy-corn-sladko-solenyj-30g-3679506	Wed Jul  3 15:03:05 2024	Попкорн Holy Corn сладко-соленый, 30г	Цена54,99 ₽	Holy Corn	417.0	6.5 г	13.0 г	64.0 г	Зерно кукурузы, кокосовое масло, тросниковый сахар, морская соль. 	True	True	Fri Jul  5 21:57:48 2024
Попкорн Holy Corn морская соль, 20г	63,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/710/p/popkorn-holy-corn-morskaa-sol-20g-3679690	Wed Jul  3 15:03:05 2024	Попкорн Holy Corn морская соль, 20г	Цена54,99 ₽	Holy Corn	420.0	8.5 г	14.0 г	59.0 г	Зерно кукурузы, кокосовое масло, морская соль. 	True	True	Fri Jul  5 21:57:49 2024
Попкорн Reeel Морская соль соленый, 30г	67,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-morskaa-sol-solenyj-30g-4324728	Wed Jul  3 15:03:05 2024	Попкорн Reeel Морская соль соленый, 30г	Цена75,99 ₽	Reeel	466.0	8.9 г	25.1 г	51.1 г	Зерно кукурузы, масло растительное кокосовое, соль пищевая гималайская розовая. 	True	True	Fri Jul  5 21:57:50 2024
Кукуруза Трям Карамель воздушная, 250г	99,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/710/p/kukuruza-tram-karamel-vozdusnaa-250g-4295341	Wed Jul  3 15:03:05 2024	Кукуруза Трям Карамель воздушная, 250г	Цена97,99 ₽	none	333.0	4.5 г	6.1 г	65.0 г	Зерно кукурузы, сахар, масло подсолнечное рафинированное. 	True	True	Fri Jul  5 21:57:52 2024
Попкорн Reeel Брауни сладкий, 55г	99,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-brauni-sladkij-55g-4342112	Wed Jul  3 15:03:05 2024	Попкорн Reeel Брауни сладкий, 55г	Цена69,99 ₽	Reeel	398.3	5.7 г	7.7 г	76.5 г	"Зерно кукурузы, сахар, глюкоза, сахар тростниковый, какао-порошок, масло растительное кокосовое,  какао-масло, какао тертое, молоко сухое, соль, эмульгатор лецитин соевый, экстракт ванили, ароматизатор натуральный ""Шоколад"". "	True	True	Fri Jul  5 21:57:54 2024
Попкорн Reeel Кола сладкий, 55г	99,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-kola-sladkij-55g-4342076	Wed Jul  3 15:03:05 2024	Попкорн Reeel Кола сладкий, 55г	Цена69,99 ₽	Reeel	399.9	5.8 г	7.3 г	77.7 г	"Зерно кукурузы, сахар, глюкоза, сахар тростниковый, масло растительное кокосовое, молоко сухое, эмульгатор лецитин соевый, краситель натуральный карамельный колер, ароматизатор натуральный ""Кола"", краситель натуральный кармин, соль. "	True	True	Fri Jul  5 21:57:55 2024
Попкорн Reeel Бабл гам сладкий, 55г	99,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-babl-gam-sladkij-55g-4342077	Wed Jul  3 15:03:05 2024	Попкорн Reeel Бабл гам сладкий, 55г	Цена69,99 ₽	Reeel	399.9	5.8 г	7.3 г	77.7 г	Зерно кукурузы, сахар, глюкоза, сахар тростниковый, масло растительное кокосовое, молоко сухое, эмпульгатор лецитин соевый, ароматизатор натуральный, краситель натуральный кармин, соль. 	True	True	Fri Jul  5 21:57:56 2024
