name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Горбуша Русское Море филе горячего копчения, 200г	319,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-russkoe-more-file-goracego-kopcenia-200g-3633239	Wed Jul  3 15:04:19 2024	Горбуша Русское Море филе горячего копчения, 200г	Цена319,99 ₽	Русское Море	177.0	24.0 г	9.0 г	0.0 г	Горбуша, соль. 	True	True	Fri Jul  5 23:07:16 2024
Форель Моремания филе подкопченная, 180г	409,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/812/p/forel-moremania-file-podkopcennaa-180g-3668419	Wed Jul  3 15:04:19 2024	Форель Моремания филе подкопченная, 180г	Цена399,99 ₽	Моремания	140.0	22.0 г	6.0 г	0.0 г	Форель радужная (продукция аквакультуры), соль. 	True	True	Fri Jul  5 23:07:17 2024
Горбуша Рыбная Миля косичка холодного копчения, 300г	249,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-rybnaa-mila-kosicka-holodnogo-kopcenia-300g-3302055	Wed Jul  3 15:04:19 2024	Горбуша Рыбная Миля косичка холодного копчения, 300г	Цена249,99 ₽	Рыбная миля	186.0	22.0 г	11.0 г	0.0 г	Горбуша, соль, консервант: бензоат натрия (211), сорбат калия (Е202). 	True	True	Fri Jul  5 23:07:18 2024
Горбуша холодного копчения ломтики, 150г	219,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-holodnogo-kopcenia-lomtiki-150g-97253	Wed Jul  3 15:04:19 2024	Горбуша холодного копчения ломтики, 150г	Цена229,99 ₽	Олива	none	24.0 г	9.0 г	none	. 	True	True	Fri Jul  5 23:07:19 2024
Форель подкопчённая радужная ломтики, 150г	389,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/forel-podkopcennaa-raduznaa-lomtiki-150g-4221593	Wed Jul  3 15:04:19 2024	Форель подкопчённая радужная ломтики, 150г	Цена394,99 ₽	none	140.0	22.0 г	6.0 г	0.0 г	Форель радужная (продукция аквакультуры), соль. 	True	True	Fri Jul  5 23:07:20 2024
Форель радужная холодного копчения балык	1 599,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-holodnogo-kopcenia-balyk-4314594	Wed Jul  3 15:04:19 2024	Форель радужная холодного копчения балык	Цена1 699,00 ₽	none	165.0	21.0 г	9.0 г	0.0 г	форель радужная, соль. 	True	True	Fri Jul  5 23:07:21 2024
Горбуша Русское Море горячего копчения обезглавленная, 500г	439,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/177/p/gorbusa-russkoe-more-goracego-kopcenia-obezglavlennaa-500g-4085862	Wed Jul  3 15:04:19 2024	Горбуша Русское Море горячего копчения обезглавленная, 500г	Цена439,99 ₽	Русское Море	150.0	26.0 г	5.0 г	0.0 г	Горбуша, соль. 	True	True	Fri Jul  5 23:07:21 2024
Горбуша холодного копчения балык потрошёная без головы	979,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/gorbusa-holodnogo-kopcenia-balyk-potrosenaa-bez-golovy-4176763	Wed Jul  3 15:04:19 2024	Горбуша холодного копчения балык потрошёная без головы	Цена979,99 ₽	none	140.0	20.5 г	6.5 г	0.0 г	Горбуша, соль пищевая. 	True	True	Fri Jul  5 23:07:22 2024
Скумбрия Балтийский Берег кусочки холодного копчения, 300г	299,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/812/p/skumbria-baltijskij-bereg-kusocki-holodnogo-kopcenia-300g-3454689	Wed Jul  3 15:04:19 2024	Скумбрия Балтийский Берег кусочки холодного копчения, 300г	Цена299,99 ₽	Балтийский Берег	176.0	17.0 г	12.0 г	0.0 г	Рыба, соль. 	True	True	Fri Jul  5 23:07:23 2024
Скумбрия Gustafsen холодного копчения кусочки, 280г	179,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/812/p/skumbria-gustafsen-holodnogo-kopcenia-kusocki-280g-4183756	Wed Jul  3 15:04:19 2024	Скумбрия Gustafsen холодного копчения кусочки, 280г	Цена179,99 ₽	Gustafsen	190.0	18.0 г	13.0 г	0.0 г	Скумбрия, соль. 	True	True	Fri Jul  5 23:07:24 2024
