name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Варенье клубничное Маркет Перекрёсток, 325г	179,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/111/p/varene-klubnicnoe-market-perekrestok-325g-4252164	Wed Jul  3 15:05:14 2024	Варенье клубничное Маркет Перекрёсток, 325г	Цена179,99 ₽	Маркет	240.0	0.0 г	0.0 г	60.0 г	Сахар белый, клубника. 	True	True	Fri Jul  5 23:45:28 2024
Варенье вишневое стерилизованное Маркет Перекрёсток, 325г	199,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/111/p/varene-visnevoe-sterilizovannoe-market-perekrestok-325g-4252162	Wed Jul  3 15:05:14 2024	Варенье вишневое стерилизованное Маркет Перекрёсток, 325г	Цена199,99 ₽	Маркет	240.0	0.0 г	0.0 г	60.0 г	Сахар белый, вишня. 	True	True	Fri Jul  5 23:45:28 2024
Варенье Черносмородиновое Пр!ст, 380г	149,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/111/p/varene-cernosmorodinovoe-pr-st-380g-4253745	Wed Jul  3 15:05:14 2024	Варенье Черносмородиновое Пр!ст, 380г	Цена149,99 ₽	Пр!ст	252.0	0.0 г	0.0 г	63.0 г	Сахар белый, черная смородина. 	True	True	Fri Jul  5 23:45:29 2024
Варенье Малиновое Пр!ст, 380г	199,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/111/p/varene-malinovoe-pr-st-380g-4253746	Wed Jul  3 15:05:14 2024	Варенье Малиновое Пр!ст, 380г	Цена199,99 ₽	Пр!ст	252.0	0.0 г	0.0 г	63.0 г	Сахар белый, малина. 	True	True	Fri Jul  5 23:45:31 2024
Варенье черносмородиновое стерилизованное Маркет Перекрёсток, 325г	179,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/111/p/varene-cernosmorodinovoe-sterilizovannoe-market-perekrestok-325g-4252163	Wed Jul  3 15:05:14 2024	Варенье черносмородиновое стерилизованное Маркет Перекрёсток, 325г	Цена179,99 ₽	Маркет	240.0	0.0 г	0.0 г	60.0 г	Сахар белый, черная смородина. 	True	True	Fri Jul  5 23:45:31 2024
Варенье малиновое стерилизованное Маркет Перекрёсток, 325г	199,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/111/p/varene-malinovoe-sterilizovannoe-market-perekrestok-325g-4252161	Wed Jul  3 15:05:14 2024	Варенье малиновое стерилизованное Маркет Перекрёсток, 325г	Цена199,99 ₽	Маркет	240.0	0.0 г	0.0 г	60.0 г	Сахар белый, малина. 	True	True	Fri Jul  5 23:45:32 2024
Варенье Клубничное Пр!ст, 380г	149,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/111/p/varene-klubnicnoe-pr-st-380g-4252950	Wed Jul  3 15:05:14 2024	Варенье Клубничное Пр!ст, 380г	Цена149,99 ₽	Пр!ст	252.0	0.0 г	0.0 г	63.0 г	Сахар белый, клубника. 	True	True	Fri Jul  5 23:45:33 2024
Варенье Ратибор малина, 360г	219,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-malina-360g-4204893	Wed Jul  3 15:05:14 2024	Варенье Ратибор малина, 360г	Цена219,99 ₽	Ратибор	270.0	0.0 г	0.0 г	68.0 г	Сахар, малина. 	True	True	Fri Jul  5 23:45:34 2024
Варенье Ратибор Клубника, 350г	219,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-klubnika-350g-4198148	Wed Jul  3 15:05:14 2024	Варенье Ратибор Клубника, 350г	Цена219,99 ₽	Ратибор	270.0	0.0 г	0.0 г	68.0 г	Сахар, клубника. 	True	True	Fri Jul  5 23:45:35 2024
Варенье Ратибор вишнёвое, 350г	239,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-visnevoe-350g-4198147	Wed Jul  3 15:05:14 2024	Варенье Ратибор вишнёвое, 350г	Цена239,99 ₽	Ратибор	270.0	0.0 г	0.0 г	68.0 г	Сахар, вишня. 	True	True	Fri Jul  5 23:45:36 2024
Варенье Ратибор чёрная смородина, 350г	199,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-cernaa-smorodina-350g-4231229	Wed Jul  3 15:05:14 2024	Варенье Ратибор чёрная смородина, 350г	Цена219,99 ₽	Ратибор	270.0	0.0 г	0.0 г	68.0 г	Сахар, черная смородина. 	True	True	Fri Jul  5 23:45:37 2024
Варенье Ратибор абрикос, 350г	219,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-abrikos-350g-4231222	Wed Jul  3 15:05:14 2024	Варенье Ратибор абрикос, 350г	Цена219,99 ₽	Ратибор	270.0	0.0 г	0.0 г	68.0 г	Сахар, абрикос. 	True	True	Fri Jul  5 23:45:37 2024
Варенье Абрикосовое Пр!ст, 380г	154,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/111/p/varene-abrikosovoe-pr-st-380g-4252943	Wed Jul  3 15:05:14 2024	Варенье Абрикосовое Пр!ст, 380г	Цена154,99 ₽	Пр!ст	252.0	0.0 г	0.0 г	63.0 г	Сахар белый, абрикос. 	True	True	Fri Jul  5 23:45:38 2024
Варенье абрикосовое стерилизованное Маркет Перекрёсток, 325г	179,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-abrikosovoe-sterilizovannoe-market-perekrestok-325g-4252165	Wed Jul  3 15:05:14 2024	Варенье абрикосовое стерилизованное Маркет Перекрёсток, 325г	Цена179,99 ₽	Маркет	240.0	0.0 г	0.0 г	60.0 г	Сахар белый, абрикосы. 	True	True	Fri Jul  5 23:45:39 2024
Варенье Ратибор инжир, 350г	219,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-inzir-350g-4231227	Wed Jul  3 15:05:14 2024	Варенье Ратибор инжир, 350г	Цена219,99 ₽	Ратибор	270.0	0.0 г	0.0 г	68.0 г	Сахар, инжир сушеный. 	True	True	Fri Jul  5 23:45:40 2024
Десерт Пиканта из яблок с маракуйей, 370г	239,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/111/p/desert-pikanta-iz-ablok-s-marakujej-370g-4255304	Wed Jul  3 15:05:14 2024	Десерт Пиканта из яблок с маракуйей, 370г	Цена139,99 ₽	Пиканта	70.0	0.1 г	0.0 г	17.0 г	Яблочное пюре, пюре из маракуйи, сахар, краситель биокол лютеин, ароматизатор. 	True	True	Fri Jul  5 23:45:41 2024
Варенье Ратибор из крыжовника, 350г	219,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-iz-kryzovnika-350g-4231228	Sun Jul  7 13:48:25 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье черничное Маркет, 325г	179,99 ₽/шт	325 мл	https://www.perekrestok.ru/cat/111/p/varene-cernicnoe-market-325g-4313421	Sun Jul  7 13:48:25 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье из жимолости Маркет, 325г	219,99 ₽/шт	325 мл	https://www.perekrestok.ru/cat/111/p/varene-iz-zimolosti-market-325g-4313424	Sun Jul  7 13:48:25 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Лесная Ягода Маркет, 325г	169,99 ₽/шт	325 мл	https://www.perekrestok.ru/cat/111/p/varene-lesnaa-agoda-market-325g-4313426	Sun Jul  7 13:48:25 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Мама Карелия брусника с сосноывми почками, 250г	249,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/111/p/varene-mama-karelia-brusnika-s-sosnoyvmi-pockami-250g-3673431	Sun Jul  7 13:48:25 2024	none	none	none	none	none	none	none	none	none	none	none
