name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Майонез Махеевъ Провансаль с лимонным соком дой-пак 67%, 400г	84,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/221/p/majonez-maheev-provansal-s-limonnym-sokom-doj-pak-67-400g-2047206	Wed Jul  3 15:04:39 2024	Майонез Махеевъ Провансаль с лимонным соком дой-пак 67%, 400г	Цена124,99 ₽	Махеевъ	613.0	0.5 г	67.0 г	2.1 г	Масло подсолнечное рафинированное, вода, сахар, яичный желток, соль поваренная пищевая, лимонный сок, регулятор кислотности лимонная кислота, масло горчичное, консервант сорбиновая кислота, краситель b-каротин. 	True	True	Fri Jul  5 23:18:45 2024
Майонез Ряба Провансаль 67%, 400г	109,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/221/p/majonez-raba-provansal-67-400g-3277399	Wed Jul  3 15:04:39 2024	Майонез Ряба Провансаль 67%, 400г	Цена109,99 ₽	Ряба	620.0	0.0 г	67.0 г	2.5 г	Масло подсолнечное, вода, сахар, яичные продукты, соль, уксус, эфирное горчичное масло, натуральный бета-каротин (провитамин А). 	True	True	Fri Jul  5 23:18:46 2024
Майонез Слобода Провансаль 67%, 400г	124,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/221/p/majonez-sloboda-provansal-67-400g-3674577	Wed Jul  3 15:04:39 2024	Майонез Слобода Провансаль 67%, 400г	Цена119,99 ₽	Слобода	613.0	0.4 г	67.0 г	2.2 г	Подсолнечное масло, вода, сахар, яичный желток, льняное масло, соль поваренная, уксус, горчичное масло. 	True	True	Fri Jul  5 23:18:46 2024
Майонез Провансаль 67% Маркет, 400мл	104,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/221/p/majonez-provansal-67-market-400ml-4259098	Wed Jul  3 15:04:39 2024	Майонез Провансаль 67% Маркет, 400мл	Цена89,99 ₽	Маркет	614.6	0.3 г	67.0 г	2.6 г	Масло подсолнечное рафинированное дезодорированное, вода питьевая, сахар, яичный желток, соль, горчичный порошок, регулятор кислотности кислота уксусная. 	True	True	Fri Jul  5 23:18:47 2024
Майонез Я люблю готовить Классический провансаль 67%, 700 г	139,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/221/p/majonez-a-lublu-gotovit-klassiceskij-provansal-67-700-g-4199312	Wed Jul  3 15:04:39 2024	Майонез Я люблю готовить Классический провансаль 67%, 700 г	Цена139,99 ₽	Я люблю готовить	620.0	0.5 г	67.0 г	3.2 г	Масло подсолнечное, вода, сахар, яичный желток, соль, уксус, эфирное масло горчичное, краситель каротины. 	True	True	Fri Jul  5 23:18:48 2024
Майонез Слобода Провансаль 67%, 800г	209,99 ₽/шт	800 мл	https://www.perekrestok.ru/cat/221/p/majonez-sloboda-provansal-67-800g-3193489	Wed Jul  3 15:04:39 2024	Майонез Слобода Провансаль 67%, 800г	Цена209,99 ₽	Слобода	613.0	0.4 г	67.0 г	2.1 г	Подсолнечное масло, вода, сахар, яичный желток, соль поваренная, уксус, горчичное масло. 	True	True	Fri Jul  5 23:18:49 2024
Майонез Провансаль 67% Маркет, 700г	159,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/221/p/majonez-provansal-67-market-700g-4259097	Wed Jul  3 15:04:39 2024	Майонез Провансаль 67% Маркет, 700г	Цена149,99 ₽	Маркет	614.6	0.3 г	67.0 г	2.6 г	Масло подсолнечное рафинированное дезодорированное, вода питьевая, сахар, яичный желток, соль, горчичный порошок, регулятор кислотности кислота уксусная. 	True	True	Fri Jul  5 23:18:50 2024
Майонез Я люблю готовить Московский Провансаль классический 67%, 200мл	69,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/221/p/majonez-a-lublu-gotovit-moskovskij-provansal-klassiceskij-67-200ml-4297313	Wed Jul  3 15:04:39 2024	Майонез Я люблю готовить Московский Провансаль классический 67%, 200мл	Цена69,99 ₽	Я люблю готовить	610.0	0.4 г	67.0 г	2.3 г	масло подсолнечное, вода, сахар, яичный желток, соль, уксус, эфирное масло горчичное,  краситель каротины 	True	True	Fri Jul  5 23:18:51 2024
Майонез Слобода Провансаль 67%, 230г	81,99 ₽/шт	230 мл	https://www.perekrestok.ru/cat/221/p/majonez-sloboda-provansal-67-230g-3389323	Wed Jul  3 15:04:39 2024	Майонез Слобода Провансаль 67%, 230г	Цена81,99 ₽	Слобода	613.0	0.4 г	67.0 г	2.1 г	Подсолнечное масло, вода, сахар, яичный желток, соль поваренная, уксус, горчичное масло. 	True	True	Fri Jul  5 23:18:51 2024
Майонез Вологодский провансаль Премиум 67%, 330г	139,98 ₽/шт	350 мл	https://www.perekrestok.ru/cat/221/p/majonez-vologodskij-provansal-premium-67-330g-4341942	Wed Jul  3 15:04:39 2024	Майонез Вологодский провансаль Премиум 67%, 330г	Цена139,98 ₽	none	620.0	1.8 г	67.0 г	2.1 г	"Масло подсолнечное рафинированное, вода очищенная, яичный желток, сахар, соль, уксусная кислота, пищевая добавка краситель ""Бета-каротин"", эфирное горчичное масло. "	True	True	Fri Jul  5 23:18:53 2024
