name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сливки стерилизованные 10% Пр!ст, 195мл	33,70 ₽/шт	195 мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-10-pr-st-195ml-3431574	Wed Jul  3 15:02:45 2024	Сливки стерилизованные 10% Пр!ст, 195мл	Цена35,99 ₽	Пр!ст	120.0	2.6 г	10.0 г	4.0 г	Нормализованные сливки. 	True	True	Fri Jul  5 21:38:43 2024
Сливки стерилизованные 10% Молочный знак, 500мл	104,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-10-molocnyj-znak-500ml-4178852	Wed Jul  3 15:02:45 2024	Сливки стерилизованные 10% Молочный знак, 500мл	Цена119,99 ₽	Молочный знак	118.0	2.6 г	10.0 г	4.5 г	Сливки нормализованные. 	True	True	Fri Jul  5 21:38:44 2024
Сливки Домик в деревне 10%, 950мл	174,99 ₽/шт	931 мл	https://www.perekrestok.ru/cat/115/p/slivki-domik-v-derevne-10-950ml-4249875	Wed Jul  3 15:02:45 2024	Сливки Домик в деревне 10%, 950мл	Цена184,99 ₽	Домик в деревне	118.0	2.8 г	10.0 г	4.3 г	Сливки нормализованные. 	True	True	Fri Jul  5 21:38:45 2024
Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 500мл	184,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-parmalat-comfort-bezlaktoznye-ultrapasterizovannye-11-500ml-4063899	Wed Jul  3 15:02:45 2024	Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 500мл	Цена179,99 ₽	Parmalat	125.0	2.6 г	11.0 г	4.0 г	Нормализованные сливки. 	True	True	Fri Jul  5 21:38:46 2024
Сливки стерилизованные Домик в деревне 10%, 480мл	129,99 ₽/шт	480 мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-domik-v-derevne-10-480ml-44849	Wed Jul  3 15:02:45 2024	Сливки стерилизованные Домик в деревне 10%, 480мл	Цена129,99 ₽	Домик в деревне	118.0	2.7 г	10.0 г	4.4 г	Сливки нормализованные. 	True	True	Fri Jul  5 21:38:46 2024
Сливки Ehrmann питьевые ультрапастеризованные для кофе 10%, 10х10мл	56,99 ₽/шт	100 мл	https://www.perekrestok.ru/cat/115/p/slivki-ehrmann-pitevye-ultrapasterizovannye-dla-kofe-10-10h10ml-4303544	Wed Jul  3 15:02:45 2024	Сливки Ehrmann питьевые ультрапастеризованные для кофе 10%, 10х10мл	Цена63,99 ₽	Ehrmann	120.0	2.6 г	10.0 г	3.9 г	Молоко нормализованное. 	True	True	Fri Jul  5 21:38:47 2024
Сливки Клевер ультрапастеризованные 10%, 500мл	114,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/115/p/slivki-klever-ultrapasterizovannye-10-500ml-2029626	Wed Jul  3 15:02:45 2024	Сливки Клевер ультрапастеризованные 10%, 500мл	Цена124,99 ₽	Клевер	118.0	2.6 г	10.0 г	4.5 г	Сливки из цельного молока. 	True	True	Fri Jul  5 21:38:48 2024
Сливки питьевые Большая Кружка ультрапастеризованные 10%, 200мл	55,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-bolsaa-kruzka-ultrapasterizovannye-10-200ml-3439447	Wed Jul  3 15:02:45 2024	Сливки питьевые Большая Кружка ультрапастеризованные 10%, 200мл	Цена55,99 ₽	Большая Кружка	117.0	2.6 г	10.0 г	4.1 г	Сливки. 	True	True	Fri Jul  5 21:38:49 2024
Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 200мл	95,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-parmalat-comfort-bezlaktoznye-ultrapasterizovannye-11-200ml-4073940	Wed Jul  3 15:02:45 2024	Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 200мл	Цена97,99 ₽	Parmalat	125.0	0.0 г	0.1 г	4.0 г	Нормализованные сливки. 	True	True	Fri Jul  5 21:38:50 2024
Сливки Свитлогорье ультрапастеризованные 10%, 500мл	129,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/115/p/slivki-svitlogore-ultrapasterizovannye-10-500ml-3500128	Wed Jul  3 15:02:45 2024	Сливки Свитлогорье ультрапастеризованные 10%, 500мл	Цена129,99 ₽	Свитлогорье	120.0	2.6 г	10.0 г	4.3 г	Сливки нормализованные. 	True	True	Fri Jul  5 21:38:51 2024
