name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Батончик-мюсли ДиYes клюква-малина в йогурте, 25г	19,99 ₽/шт	25 гр	https://www.perekrestok.ru/cat/203/p/batoncik-musli-diyes-klukva-malina-v-jogurte-25g-3455919	Wed Jul  3 15:03:27 2024	Батончик-мюсли ДиYes клюква-малина в йогурте, 25г	Цена27,99 ₽	ДиYes	400.0	4.0 г	11.0 г	72.0 г	Мальтозный сироп, йогуртовая глазурь 18% (сахар, растительный жир, молочная сыворотка сухая, йогуртовый порошок 2%, эмульгатор: соевый лецитин, регулятор кислотности: лимонная кислота, ароматизатор натуральный), овсяные хлопья, экструдированные злаковые шарики (пшеничная, рисовая и кукурузная мука, пшеничная клетчатка, соль), кукурузные хлопья, сушеная клюква 6,4%, глюкозно-фруктозный сироп, растительный жир, малиновый наполнитель 2,1% (малина, яблоко, фруктоза, агент желирующий: пектин), эмульгатор: соевый лецитин, ароматизатор, регулятор кислотности: лимонная кислота. Может содержать следы арахиса и орехов. 	True	True	Fri Jul  5 22:26:43 2024
Батончик-мюсли ДиYes черника без сахара, 25г	19,99 ₽/шт	25 гр	https://www.perekrestok.ru/cat/203/p/batoncik-musli-diyes-cernika-bez-sahara-25g-3455922	Wed Jul  3 15:03:27 2024	Батончик-мюсли ДиYes черника без сахара, 25г	Цена33,99 ₽	ДиYes	370.0	4.0 г	11.0 г	72.0 г	Мальтозный сироп, овсяные хлопья, кукурузные хлопья, экструдированные злаковые шарики (пшеничная, рисовая и кукурузная мука, пшеничная клетчатка, соль), глюкозно-фруктозный сироп, сушеная клюква 5%, черничный наполнитель 4,3% (яблоко, ежевика, черника, глюкозно-фруктозный сироп, влагоудерживающий агент: глицерин, агент желирующий: пектин), растительный жир, изюм, эмульгатор: соевый лецитин, ароматизатор, регулятор кислотности: лимонная кислота. Может содержать следы арахиса и орехов. 	True	True	Fri Jul  5 22:26:44 2024
Батончик Pikki миндаль-шоколад-апельсин, 35г	49,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/203/p/batoncik-pikki-mindal-sokolad-apelsin-35g-3503816	Wed Jul  3 15:03:27 2024	Батончик Pikki миндаль-шоколад-апельсин, 35г	Цена79,99 ₽	Pikki	467.0	11.0 г	24.0 г	48.0 г	Кешью жареный, клюква сушёная, патока карамельная, ядро миндаля жареное, цедра апельсина, шоколад (сахар, какао-масса, какао-масло, эмульгатор (подсолнечный лецитин), ароматизатор натуральный (ваниль), соль морская 	True	True	Fri Jul  5 22:26:45 2024
Батончик-мюсли Здоровый Перекус клюква, 55г	39,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/189/p/batoncik-musli-zdorovyj-perekus-klukva-55g-3600318	Wed Jul  3 15:03:27 2024	Батончик-мюсли Здоровый Перекус клюква, 55г	Цена59,99 ₽	Здоровый Перекус	355.0	4.2 г	6.0 г	78.5 г	Зерновые хлопья (овсяные, пшеничные, ржаные, ячменные), рис и кукуруза воздушные экструдированные, пшеница воздушная, ягоды свежие: клюква, черноплодная рябина, патока, масло подсолнечное рафинированное дезодорированное. 	True	True	Fri Jul  5 22:26:46 2024
Батончик-мюсли Здоровый Перекус черника, 55г	39,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/189/p/batoncik-musli-zdorovyj-perekus-cernika-55g-3600319	Wed Jul  3 15:03:27 2024	Батончик-мюсли Здоровый Перекус черника, 55г	Цена55,99 ₽	Здоровый Перекус	359.0	4.2 г	6.1 г	79.5 г	Зерновые хлопья (овсяные, пшеничные, ржаные, ячменные), рис и кукуруза воздушные экструдированные, пшеница воздушная, ягоды свежие: черника, ежевика, красная смородина, патока, масло подсолнечное рафинированное дезодорированное. 	True	True	Fri Jul  5 22:26:47 2024
Батончик Smartbar Protein, 40г	67,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/189/p/batoncik-smartbar-protein-40g-3609088	Wed Jul  3 15:03:27 2024	Батончик Smartbar Protein, 40г	Цена60,99 ₽	Smartbar	407.0	31.0 г	11.0 г	49.0 г	"Сироп глюкозно-фруктозный, концентрат сывороточный белковый, глазурь кондитерская (сахар, заменитель какао-масла лауринового типа, какао-порошок, эмульгаторы: лецитин, полиглицерин, ароматизатор ""Ванилин""), банан вяленый кусочки, масло кокосовое, казеинат натрия пищевой, инулин, мука рисовая, стабилизатор - гидролизованный коллаген, загуститель - глицерин, эмульгатор - лецитин соевый, ароматизатор ""Банан"", подсластитель - сорбит. "	True	True	Fri Jul  5 22:26:47 2024
Гематоген Фарм-Тигода Классический, 40г	14,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/297/p/gematogen-farm-tigoda-klassiceskij-40g-3604067	Wed Jul  3 15:03:27 2024	Гематоген Фарм-Тигода Классический, 40г	Цена15,99 ₽	Фарм-Тигода	250.0	7.0 г	3.0 г	54.0 г	Молоко цельное сгущенное с сахаром, сахар-песок, патока карахмальная (кукрузная), вода, альбумин черный пищевой, ароматизатор ванилин. 	True	True	Fri Jul  5 22:26:48 2024
Батончик Racionika Diet кокос, 60г	109,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/203/p/batoncik-racionika-diet-kokos-60g-3481054	Wed Jul  3 15:03:27 2024	Батончик Racionika Diet кокос, 60г	Цена114,99 ₽	Racionika	343.0	14.2 г	12.2 г	36.7 г	Патока, глазурь кондитерская (лауриновый заменитель какао-масла, пищевые волокна (инулин, волокна пшеницы, волокна акации), молочный белок, соевый белок, фруктоза, влагоудерживающий агент глицерин, подсластитель натуральный стевия, витаминно-минеральный премикс (мальтодекстрин, кальций, магний, цинк, витамины B1, B6, PP), регулятор кислотности лимонная кислота, консервант сорбат калия, ароматизатор. Не содержит: аспартама, красителей. 	True	True	Fri Jul  5 22:26:49 2024
Конфета кокос протеиновая Зелёная Линия, 30г	81,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/65/p/konfeta-kokos-proteinovaa-zelenaa-linia-30g-4109733	Wed Jul  3 15:03:27 2024	Конфета кокос протеиновая Зелёная Линия, 30г	Цена79,99 ₽	Зелёная Линия	303.6	12.4 г	10.0 г	41.0 г	Финиковая паста (финик сушёный), концентрат сывороточного белка молока, ядра кешью, стружка кокосовая, эмульгатор-лецитин соевый, антиокислитель-аскорбиновая кислота, экстракт ванили. 	True	True	Fri Jul  5 22:26:49 2024
Конфета кешью протеиновая Зелёная Линия, 30г	81,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/65/p/konfeta-kesu-proteinovaa-zelenaa-linia-30g-4109732	Wed Jul  3 15:03:27 2024	Конфета кешью протеиновая Зелёная Линия, 30г	Цена79,99 ₽	Зелёная Линия	334.0	12.0 г	10.0 г	49.0 г	Финиковая паста (финик сушёный), арахис, концентрат сывороточного белка молока, ядра кешью, миндальное масло нерафинированное, какао-порошок, эмульгатор-лецитин соевый, антиокислитель-аскорбиновая кислота. 	True	True	Fri Jul  5 22:26:50 2024
Карамель Sula мультивитамин без сахара, 60г	159,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/189/p/karamel-sula-multivitamin-bez-sahara-60g-47451	Wed Jul  3 15:03:27 2024	Карамель Sula мультивитамин без сахара, 60г	Цена89,99 ₽	Sula	230.0	0.0 г	0.0 г	93.8 г	Подсластитель (сорбит), загуститель (гуммиарабик), регуляторы кислотности (молочная кислота, лимонная кислота), натуральные ароматизаторы, витаминный премикс (аскорбиновая кислота, мальтодекстрин, никотинамид, токоферола ацетат, кальция пантотенат, рибофлавин, пиридоксина гидрохлорид, фолиевая кислота, биотин, цианокобаламин), краситель куркумин, фруктовая паста (яблоко, лайм, клубника, вишня, ананас, апельсин, лимон, персик, ежевика, малина, банан, черника, арбуз, киви, манго)(1%), апельсиновый сок (0.5%). 	True	True	Fri Jul  5 22:26:51 2024
Печенье Mini Calorie Мария затяжное на стевии, 250г	93,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/189/p/pecene-mini-calorie-maria-zataznoe-na-stevii-250g-3664137	Wed Jul  3 15:03:27 2024	Печенье Mini Calorie Мария затяжное на стевии, 250г	Цена99,99 ₽	Mini Calorie	399.0	10.2 г	9.0 г	69.1 г	Мука пшеничная высший сорт, вода, маргарин столовый марки МТ 82% (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде, в том числе соевое, вода , эмульгаторы: (Е475, Е471), соль, консервант сорбат калия (Е202), регулятор кислотности лимонная кислота (Е330), армоатизатор Масло, краситель (Е160а)), антиокислители: (Е300, Е307), молоко сухое цельное, разрыхлители: (Е500, Е503), соль, яичный порошок, подсластитель стевия, ароматизатор Ванилин, консервант (Е223). 	True	True	Fri Jul  5 22:26:52 2024
