name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Молоко Простоквашино пастеризованное 2.5%, 930мл	74,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/114/p/moloko-prostokvasino-pasterizovannoe-2-5-930ml-2093081	Sun Jul  7 00:35:39 2024	Молоко Простоквашино пастеризованное 2.5%, 930мл	Цена74,99 ₽	Простоквашино	53.0	3.0 г	2.5 г	4.7 г	Молоко нормализованное. 	True	True	Sun Jul  7 00:39:06 2024
Молоко Правильное Молоко пастеризованное 3.2-4%, 2л	159,99 ₽/шт	2000 мл	https://www.perekrestok.ru/cat/114/p/moloko-pravilnoe-moloko-pasterizovannoe-3-2-4-2l-3439471	Sun Jul  7 00:35:39 2024	Молоко Правильное Молоко пастеризованное 3.2-4%, 2л	Цена169,99 ₽	Правильное Молоко	63.5	3.0 г	3.6 г	4.7 г	Цельное молоко. 	True	True	Sun Jul  7 00:39:07 2024
Молоко Простоквашино отборное пастеризованное 3.4-4.5%, 930мл	95,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/114/p/moloko-prostokvasino-otbornoe-pasterizovannoe-3-4-4-5-930ml-2085981	Sun Jul  7 00:35:39 2024	Молоко Простоквашино отборное пастеризованное 3.4-4.5%, 930мл	Цена99,99 ₽	Простоквашино	61.0	2.9 г	0.0 г	4.7 г	Цельное молоко. 	True	True	Sun Jul  7 00:39:08 2024
Молоко питьевое пастеризованное 2.5% Молочный Знак, 900г	61,99 ₽/шт	900 мл	https://www.perekrestok.ru/cat/114/p/moloko-pitevoe-pasterizovannoe-2-5-molocnyj-znak-900g-4310700	Sun Jul  7 00:35:39 2024	Молоко питьевое пастеризованное 2.5% Молочный Знак, 900г	Цена69,99 ₽	Молочный знак	53.3	3.0 г	2.5 г	4.7 г	Молоко цельное, молоко обезжиренное. 	True	True	Sun Jul  7 00:39:11 2024
Молоко пастеризованное Домик в деревне 2.5%, 930мл	74,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/114/p/moloko-pasterizovannoe-domik-v-derevne-2-5-930ml-3255206	Sun Jul  7 00:35:39 2024	Молоко пастеризованное Домик в деревне 2.5%, 930мл	Цена84,99 ₽	Домик в деревне	53.0	3.0 г	2.5 г	4.7 г	Молоко нормализованное. 	True	True	Sun Jul  7 00:39:12 2024
Молоко цельное отборное детское пастеризованное 3.4-4% Сарафаново, 930мл	89,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/114/p/moloko-celnoe-otbornoe-detskoe-pasterizovannoe-3-4-4-sarafanovo-930ml-3613025	Sun Jul  7 00:35:39 2024	Молоко цельное отборное детское пастеризованное 3.4-4% Сарафаново, 930мл	Цена89,99 ₽	Сарафаново	66.4	2.9 г	4.0 г	4.7 г	Цельное молоко. 	True	True	Sun Jul  7 00:39:13 2024
Молоко Простоквашино питьевое пастеризованное 3.2%, 1.4л	134,99 ₽/шт	1400 мл	https://www.perekrestok.ru/cat/114/p/moloko-prostokvasino-pitevoe-pasterizovannoe-3-2-1-4l-4259100	Sun Jul  7 00:35:39 2024	Молоко Простоквашино питьевое пастеризованное 3.2%, 1.4л	Цена139,99 ₽	Простоквашино	59.0	2.9 г	3.2 г	4.7 г	Молоко нормализованное. 	True	True	Sun Jul  7 00:39:14 2024
Молоко пастеризованное Домик в деревне 3.7%, 930мл	89,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/114/p/moloko-pasterizovannoe-domik-v-derevne-3-7-930ml-3255795	Sun Jul  7 00:35:39 2024	Молоко пастеризованное Домик в деревне 3.7%, 930мл	Цена89,99 ₽	Домик в деревне	71.0	4.5 г	3.0 г	4.7 г	Молоко цельное. 	True	True	Sun Jul  7 00:39:15 2024
Молоко пастеризованное Домик в деревне 3.7%, 1.4л	134,99 ₽/шт	1400 мл	https://www.perekrestok.ru/cat/114/p/moloko-pasterizovannoe-domik-v-derevne-3-7-1-4l-3467788	Sun Jul  7 00:35:39 2024	Молоко пастеризованное Домик в деревне 3.7%, 1.4л	Цена134,99 ₽	Домик в деревне	71.0	2.9 г	4.5 г	4.7 г	Молоко цельное. 	True	True	Sun Jul  7 00:39:16 2024
Молоко Пискаревский пастеризованное 2.5%, 1л	67,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/114/p/moloko-piskarevskij-pasterizovannoe-2-5-1l-29665	Sun Jul  7 00:35:39 2024	Молоко Пискаревский пастеризованное 2.5%, 1л	Цена67,99 ₽	Пискаревский	53.0	3.0 г	2.5 г	4.7 г	Молоко цельное, молоко обезжиренное. 	True	True	Sun Jul  7 00:39:17 2024
