name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Пирожное Home Made Cake маракуйя, 100г	159,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/704/p/piroznoe-home-made-cake-marakuja-100g-4268208	Wed Jul  3 15:03:23 2024	Пирожное Home Made Cake маракуйя, 100г	Цена159,99 ₽	Home Made Cake	217.5	4.4 г	11.9 г	23.2 г	Сыр творожный м.д.ж. в сухом веществе 65% (творог (нормализованное молоко, бактериальная закваска, молокосвертывающий фермент микробного происхождения), крахмал кукурузный, соль пищевая, стабилизаторы (камедь рожкового дерева, гуаровая камедь), регулятор кислотности - кислота лимонная, вода питьевая), сливки питьевые ультрапастеризованные м.д.ж. 34%, пюре маракуйи (маракуйя, сахар), сахра, вода питьевая, мука пшеничная хлебопекарная высшего сорта, яйцо куриное пищевое, желатин пищевой. 	True	True	Fri Jul  5 22:21:48 2024
Десерт Konfeta с Ананасом/Грецким орехом и сметанным кремом, 300г	389,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/704/p/desert-konfeta-s-ananasom-greckim-orehom-i-smetannym-kremom-300g-4342816	Wed Jul  3 15:03:23 2024	Десерт Konfeta с Ананасом/Грецким орехом и сметанным кремом, 300г	Цена349,99 ₽	Konfeta	267.0	3.3 г	16.8 г	25.5 г	Молокосодержащий продукт с заменителем молочного жира, произведенный по технологии сметаны (обезжиренное молоко, заменитель молочного жира (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде; эмульгатор моно- и диглицериды  жирных кислот, антиокислители аскорбилпальмитат, альфа-токоферол, соевый лецитин, краситель бета-каротин), закваска молочнокислых микроорганизмов), крем на растительных маслах (вода питьевая, жир растительный пальмоядровый, сахар, белок молочный, эмульгаторы (сорбитовый сироп, эфиры глицерина и диацетилвинной и жирных кислот, лецитины, полиоксиэтилен сорбитан моностеарат), стабилизаторы (гидроксипропилцеллюлоза, альгинат натрия), соль, ароматизатор, краситель бета-каротин), сахарная пудра, ананасы консервированные (ананасы, вода, сахар, регулятор кислотности  лимонная кислота), меланж яичный пастеризованный, орех грецкий, сахар, мука пшеничная хлебопекарная высшего сорта, сливки питьевые ультрапастеризованные 20%, шоколадная масса (какао тертое, сахар, масло какао, эмульгатор лецитин соевый), вода, какао-порошок, глюкоза (глюкоза ферментированная, мальтодекстрин), ароматизатор ванилин, консервант сорбат калия, улучшитель для кондитерских изделий  (мука пшеничная, консервант сорбиновая кислота, консервант пропионат кальция). 	True	True	Fri Jul  5 22:21:49 2024
Пирожное Карат Плюс Буше бисквитное сливочное, 150г	119,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/704/p/piroznoe-karat-plus-buse-biskvitnoe-slivocnoe-150g-3296057	Wed Jul  3 15:03:23 2024	Пирожное Карат Плюс Буше бисквитное сливочное, 150г	Цена109,99 ₽	Карат+	405.0	7.1 г	19.6 г	42.9 г	Сахар-песок, белок яичный, масло сладкосливочное несоленое (сливки коровьи), мука пшеничная хлебопекарная в/с, желток яичный, вода, молоко цельное сгущенное с сахаром (молоко нормализованное, сахар-песок), глазурь кондитерская шоколадная, глазурь кондитерская белая (сахар-песок, растительный жир, какао-порошок, молоко сухое обезжиренное, лецитин, ароматизатор ванилин), кондитерский жир, эмульгатор: лецитин, ароматизаторы идентичные натуральным: сливочный, ванильный, коньячный; кислота лимонная, сорбиновая кислота, ванилин. 	True	True	Fri Jul  5 22:21:50 2024
Пирожное Kinder Pingui шоколад, 30г	69,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/658/p/piroznoe-kinder-pingui-sokolad-30g-53713	Wed Jul  3 15:03:23 2024	Пирожное Kinder Pingui шоколад, 30г	Цена69,99 ₽	Kinder	450.0	7.0 г	29.7 г	37.8 г	Пастеризованное молоко, темный шоколад (сахар, тертое какао, масло какао, эмульгатор: лецитины, ароматизатор; общее содержание сухого остатка какао: не менее 50%)сахар, растительный жир, сухое обезжиренное молоко, пшеничная мука, масло какао, молочный жир, декстроза, молочный шоколад (сахар, сухое цельное молоко, масло какао, тертое какао, эмульгатор: летицины, ароматизатор; общее содержание сухого остатка какао: не менее 32.2%, сухой обезжиренный остаток какао: не менее 4.7%, сухой общий остаток молока: не менее 22.6%, молочный жир: не менее 6.1%), обезжиренный какао-порошок, яичный порошок, дрожжи, ароматизаторы, эмульгатор: моно- и диглицериды жирных кислот, соль, сухой солодовый экстракт. Содержит молоко, яйца, злаки, содержащие глютен, сою и продукты их переработки. 	True	True	Fri Jul  5 22:21:51 2024
Пирожное Медвежонок Барни бисквитное с молочной начинкой, 150г	160,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/704/p/piroznoe-medvezonok-barni-biskvitnoe-s-molocnoj-nacinkoj-150g-3276703	Wed Jul  3 15:03:23 2024	Пирожное Медвежонок Барни бисквитное с молочной начинкой, 150г	Цена209,99 ₽	Медвежонок Барни	380.0	6.0 г	15.0 г	58.0 г	Мука пшеничная, сироп глюкозно-фруктозный, сахар, яичный продукт, масло растительное, вода, агент влагоудерживающий (глицерин), молоко сухое обезжиренное, молоко сухое цельное, какао-порошок, крахмал пшеничный, декстроза, регуляторы кислотности (гидрокарбонат калия, лимонная кислота), разрыхлитель (дигидропирофосфат натрия), эмульгаторы (эфиры глицерина и молочной и жирных кислот, эфиры полиглицерина и жирных кислот, лецитин соевый), соль, карбонат кальция, ароматизатор натуральный, загуститель (гуаровая камедь). 	True	True	Fri Jul  5 22:21:53 2024
Пирожное Kinder Maxi King орехи-карамель, 35г	97,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/658/p/piroznoe-kinder-maxi-king-orehi-karamel-35g-53715	Wed Jul  3 15:03:23 2024	Пирожное Kinder Maxi King орехи-карамель, 35г	Цена97,99 ₽	Kinder	521.0	6.7 г	37.5 г	38.2 г	Молочный шоколад (масло какао, сахар, сухое цельное молоко, тертое какао, эмульгатор: лецитины, ароматизатор; общее содержание сухого остатка какао: не менее 48,5%, сухой обезжиренный остаток какао: не менее 5%, сухой общий остаток молока: не менее 15,3%, молочный жир: не менее 4,1%), пастеризованное молоко, сахар, карамель (сгущенное молоко с сахаром, сахар, лесные орехи, растительный жир, ароматизатор), лесные орехи, растительный жир, сухое обезжиренное молоко, мука: пшеничная и рисовая, молочный жир, тапиковый крахмал, эмульгаторы: моно- и диглицериды жирных кислот и лецитины, соль, ароматизатор, разрыхлитель: гидрокарбонат натрия, загуститель: тары камедь. 	True	True	Fri Jul  5 22:21:54 2024
Пирожное Медвежонок Барни бисквитное с шоколадной начинкой, 150г	139,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/704/p/piroznoe-medvezonok-barni-biskvitnoe-s-sokoladnoj-nacinkoj-150g-2143824	Wed Jul  3 15:03:23 2024	Пирожное Медвежонок Барни бисквитное с шоколадной начинкой, 150г	Цена209,99 ₽	Медвежонок Барни	390.0	6.1 г	15.5 г	58.5 г	Мука пшеничная, сироп глюкозно-фруктозный, сахар, яичный продукт, масло растительное, вода, темная шоколадная масса (какао тертое, сахар, масло какао, эмульгатор (лецитин соевый)), агент влагоудерживающий (глицерин), крахмал пшеничный, сыворотка сухая молочная, молоко сухое обезжиренное, молоко сухое цельное, регулятор кислотности (гидрокарбонат калия), разрыхлитель (дигидропирофосфат натрия), эмульгаторы (эфиры глицерина и молочной и жирных кислот, эфиры полиглицерина и жирный кислот, лецитин соевый), карбонат кальция, соль, какао-порошок, ароматизатор натуральный. 	True	True	Fri Jul  5 22:21:55 2024
Бисквитное пирожное Kinder Delice, 39г	83,99 ₽/шт	39 гр	https://www.perekrestok.ru/cat/704/p/biskvitnoe-piroznoe-kinder-delice-39g-3647915	Wed Jul  3 15:03:23 2024	Бисквитное пирожное Kinder Delice, 39г	Цена64,99 ₽	Kinder	455.0	5.5 г	22.6 г	58.8 г	Сахар, растительные жиры, восстановленное сухое цельное молоко, яйца, пшеничная мука, глюкозный сироп с фруктозой, сухое обезжиренное молоко, обезжиренный какао-порошок, какао-порошок, сухая молочная сыворотка, ароматизаторы, эмульгаторы: моно- и диглицериды жирных кислот и лецитины, разрыхлители: карбонат аммония и гидрокарбонат натрия, концентрированный лимонный сок, концентрированная молочная сыворотка, соль. Содержит молоко, яйца, злаки, содержащие глютен, сою и продукты их переработки. 	True	True	Fri Jul  5 22:21:56 2024
Пирожное Медвежонок Барни бисквитное с шоколадной начинкой, 240г	169,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/704/p/piroznoe-medvezonok-barni-biskvitnoe-s-sokoladnoj-nacinkoj-240g-3695892	Wed Jul  3 15:03:23 2024	Пирожное Медвежонок Барни бисквитное с шоколадной начинкой, 240г	Цена299,99 ₽	Барни	376.0	6.0 г	15.0 г	53.0 г	Мука пшеничная, сироп глюкозно-фруктозный, сахар, яичный продукт, масло растительное, вода, темная шоколадная масса (какао тертое, сахар, масло какао, эмульгатор (лецитин соевый)), агент влагоудерживающий (глицерин), крахмал пшеничный, сыворотка сухая молочная, молоко сухое обезжиренное, молоко сухое цельное, регулятор кислотности (гидрокарбонат калия), разрыхлитель (дигидропирофосфат натрия), эмульгаторы (эфиры глицерина и молочной и жирных кислот, эфиры полиглицерина и жирных кислот, лецитин соевый), карбонат кальция, соль, какао-порошок, ароматизатор натуральный. 	True	True	Fri Jul  5 22:21:57 2024
Пирожное Kinder Молочный Ломтик бисквитное с молочно-персиковой начинкой, 28г	53,99 ₽/шт	28 гр	https://www.perekrestok.ru/cat/704/p/piroznoe-kinder-molocnyj-lomtik-biskvitnoe-s-molocno-persikovoj-nacinkoj-28g-4298995	Wed Jul  3 15:03:23 2024	Пирожное Kinder Молочный Ломтик бисквитное с молочно-персиковой начинкой, 28г	Цена53,99 ₽	Kinder	403.0	6.9 г	23.5 г	40.3 г	Пастеризованное молоко, растительный жир, сахар, фруктовая начинка из персика (персиковое пюре, сахар, глюкозный сироп, загуститель: пектин, регулятор кислотности: лимонная кислота, ароматизатор), пшеничная мука, сухое обезжиренное молоко, мёд, яичный порошок, обезвоженный молочный жир, обезжиренный какао-порошок, пшеничные отруби, разрыхлители: дигидропирофосфат натрия, гидрокарбонат натрия и карбонад аммония, эмульгатор: моно- и диглицериды жирных кислот, соль, ароматизаторы. 	True	True	Fri Jul  5 22:21:58 2024
