name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Напиток со вкусом Киви-Фейхоа и семенами базилика безалкогольный негазированный Маркет, 300мл	39,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/740/p/napitok-so-vkusom-kivi-fejhoa-i-semenami-bazilika-bezalkogolnyj-negazirovannyj-market-300ml-4254532	Wed Jul  3 15:03:43 2024	Напиток со вкусом Киви-Фейхоа и семенами базилика безалкогольный негазированный Маркет, 300мл	Цена59,99 ₽	Маркет	40.0	0.0 г	0.0 г	10.0 г	Вода питьевая, сахар, сок яблочный концентрированный, сок киви концентрированный, семена базилика, регулятор кислотности лимонная кислота, комплексная пищевая добавка стабилизатор xc31 (стабилизатор геллановая камедь, регулятор кислотности цитрат натрия, агент антислеживающий карбонат кальция, загуститель конжаковая камедь), ароматизатор «киви» (антиокислитель альфа – токоферол), ароматизатор «фейхоа» (антиокислитель альфа – токоферол), краситель (сахарный колер i простой), консерванты: сорбат калия, бензоат натрия, комплексная пищевая добавка «зеленый» (красители: тартразин, желтый хинолиновый, синий патентованный v, регулятор кислотности лимонная кислота). 	True	True	Fri Jul  5 22:47:16 2024
Напиток со вкусом Манго и семенами базилика безалкогольный негазированный Маркет, 300мл	39,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/740/p/napitok-so-vkusom-mango-i-semenami-bazilika-bezalkogolnyj-negazirovannyj-market-300ml-4254697	Wed Jul  3 15:03:43 2024	Напиток со вкусом Манго и семенами базилика безалкогольный негазированный Маркет, 300мл	Цена59,99 ₽	Маркет	40.0	0.0 г	0.0 г	10.0 г	Вода питьевая, сахар, сок яблочный концентрированный, семена базилика, регулятор кислотности лимонная кислота, сок манго концентрированный, комплексная пищевая добавка стабилизатор xc31 (стабилизатор геллановая камедь, регулятор кислотности цитрат натрия, агент антислеживающий карбонат кальция, загуститель конжаковая камедь), ароматизатор пищевой натуральный «тип манго», консерванты: сорбат калия, бензоат натрия, комплексная пищевая добавка «жёлтый» (красители: желтый хинолиновый, желтый «солнечный закат» fcf, соль), краситель красный очаровательный ас. 	True	True	Fri Jul  5 22:47:17 2024
Напиток сокосодержащий Добрый из манго, 1л	154,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/211/p/napitok-sokosoderzasij-dobryj-iz-mango-1l-4131466	Wed Jul  3 15:03:43 2024	Напиток сокосодержащий Добрый из манго, 1л	Цена159,99 ₽	Добрый	46.0	0.0 г	0.0 г	11.5 г	Пюре из манго, сахар, регулятор кислотности - лимонная кислота, цитрусовые волокна, антиокислитель - аскорбиновая кислота, вода. 	True	True	Fri Jul  5 22:47:18 2024
Напиток сокосодержащий Любимый Вишневая черешня, 950мл	144,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/740/p/napitok-sokosoderzasij-lubimyj-visnevaa-ceresna-950ml-3456934	Wed Jul  3 15:03:43 2024	Напиток сокосодержащий Любимый Вишневая черешня, 950мл	Цена124,99 ₽	Любимый	45.0	0.0 г	0.0 г	11.0 г	Яблочный сок, вишневый сок, сок из черешни, сахар (s)** или сахар и глюкозно-фруктозный сироп (g)**, регулятор кислотности – лимонная кислота, ароматизаторы натуральные, вода. 	True	True	Fri Jul  5 22:47:19 2024
Напиток сокосодержащий Pulpy Апельсин, 900мл	109,99 ₽/шт	900 мл	https://www.perekrestok.ru/cat/740/p/napitok-sokosoderzasij-pulpy-apelsin-900ml-3418781	Wed Jul  3 15:03:43 2024	Напиток сокосодержащий Pulpy Апельсин, 900мл	Цена109,99 ₽	Pulpy	46.0	0.0 г	0.0 г	11.6 г	Апельсиновый сок, сахар, мякоть апельсина,  регулятор кислотности - лимонная кислота; стабилизаторы: пектины, гуммиарабик, эфиры глицерина и смоляных кислот; антиокислитель - аскорбиновая кислота;  краситель - каротины,  натуральные ароматизаторы, очищенная артезианская вода. изготовлен из концентрированного сока. 	True	True	Fri Jul  5 22:47:20 2024
Напиток сокосодержащий Любимый Земляничное лето, 950мл	129,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/740/p/napitok-sokosoderzasij-lubimyj-zemlanicnoe-leto-950ml-3335310	Wed Jul  3 15:03:43 2024	Напиток сокосодержащий Любимый Земляничное лето, 950мл	Цена129,99 ₽	Любимый	35.0	0.0 г	0.0 г	9.0 г	Яблочный сок, сок из черноплодной рябины, клубничный сок, земляничное пюре, сахар (s)** или сахар и глюкозно-фруктозный сироп (g)**, регулятор кислотности – лимонная кислота, стабилизатор – пектины, ароматизаторы натуральные, вода. 	True	True	Fri Jul  5 22:47:21 2024
Напиток сокосодержащий Santal красный сицилийский апельсин, 1л	194,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/740/p/napitok-sokosoderzasij-santal-krasnyj-sicilijskij-apelsin-1l-75710	Wed Jul  3 15:03:43 2024	Напиток сокосодержащий Santal красный сицилийский апельсин, 1л	Цена189,99 ₽	Santal	47.0	0.0 г	0.0 г	11.8 г	Сок красных апельсин, сахар-песок, регулятор кислотности лимонная кислота, краситель натуральный кармин, ароматизатор натуральный апельсиновый, вода. 	True	True	Fri Jul  5 22:47:22 2024
Напиток сокосодержащий Любимый Апельсиновое манго, 950мл	119,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/740/p/napitok-sokosoderzasij-lubimyj-apelsinovoe-mango-950ml-3498025	Wed Jul  3 15:03:43 2024	Напиток сокосодержащий Любимый Апельсиновое манго, 950мл	Цена124,99 ₽	Любимый	55.0	0.2 г	0.0 г	13.0 г	Апельсиновый сок, пюре манго, мандариновый сок, сахар (s)** или сахар и глюкозно-фруктозный сироп (g)**, регулятор кислотности – лимонная кислота, вода. **- буква-код используемого ингредиента – см. на верхней панели пакета. 	True	True	Fri Jul  5 22:47:22 2024
Напиток сокосодержащий Pulpy Тропический с мякотью, 900мл	109,99 ₽/шт	900 мл	https://www.perekrestok.ru/cat/740/p/napitok-sokosoderzasij-pulpy-tropiceskij-s-makotu-900ml-3444877	Wed Jul  3 15:03:43 2024	Напиток сокосодержащий Pulpy Тропический с мякотью, 900мл	Цена109,99 ₽	Pulpy	48.0	0.0 г	0.0 г	12.0 г	Яблочный сок, виноградный сок, апельсиновый сок, мандариновый сок, банановое пюре, сок из киви, ананасовый сок, сахар, мякоть апельсина, регулятор кислотности -  лимонная кислота,  краситель – антоцианы, натуральные ароматизаторы, стабилизатор-пектины, антиокислитель - аскорбиновая кислота, краситель - кармины, очищенная артезианская вода. 	True	True	Fri Jul  5 22:47:23 2024
Концентрат Гурмикс Мохито основа для приготовления лимонада, 150г	219,99 ₽/шт	150 мл	https://www.perekrestok.ru/cat/740/p/koncentrat-gurmiks-mohito-osnova-dla-prigotovlenia-limonada-150g-4223200	Wed Jul  3 15:03:43 2024	Концентрат Гурмикс Мохито основа для приготовления лимонада, 150г	Цена139,99 ₽	Гурмикс	270.0	0.5 г	0.0 г	67.0 г	Сахар, концентрированные фруктовые соки (ананасовый, апельсиновый, лимонный), глюкозно-фруктозный сироп, лимоны, лаймовый сок, вода питьевая, мята, ароматизаторы натуральные. может содержать следы арахиса, горчицы, кунжута, молока, моллюсков, орехов, ракообразных, рыбы, сельдерея, сои, яиц, диоксида серы и сульфитов, злаков, содержащих глютен, и продуктов их переработки. 	True	True	Fri Jul  5 22:47:24 2024
Напиток Aqua Minerale с соком Лимон негазированный, 500мл	75,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/740/p/napitok-aqua-minerale-s-sokom-limon-negazirovannyj-500ml-3922566	Wed Jul  3 15:03:43 2024	Напиток Aqua Minerale с соком Лимон негазированный, 500мл	Цена75,99 ₽	Aqua Minerale	19.0	0.0 г	0.0 г	4.7 г	Вода, сахар, мультифруктовый концентрированный сок (лимонный концентрированный сок, яблочный концентрированный сок, концентрированный сок черешни, концентрированный сой лайма), регулятор кислотности (е330, е331), консерванты (е202, е211), ароматизатор натуральный, стабилизатор (е414). 	True	True	Fri Jul  5 22:47:24 2024
