name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Хлеб Щедрый Дар, 285г	69,00 ₽/шт	285 гр	https://www.perekrestok.ru/cat/196/p/hleb-sedryj-dar-285g-78032665	Wed Jul  3 15:03:54 2024	Хлеб Щедрый Дар, 285г	Цена69,00 ₽	Пекарня Перекрёсток	280.0	11.0 г	10.0 г	34.0 г	Мука ржаная хлебопекарная сеяная, ядро семян подсолнечника, мука пшеничная второго сорта, солод ржаной сухой, сахар, концентрат квасного сусла, смесь сухая хлебопекарная «Солодовая -5» (мука ячменная, солод ржаной ферментированный, краситель сахарный колер), соль йодированная, дрожжи, сухая клейковина, вода. Возможны следы кунжута, орехов. 	True	True	Fri Jul  5 22:49:10 2024
Хлеб Гречневый, 280г	99,00 ₽/шт	280 гр	https://www.perekrestok.ru/cat/196/p/hleb-grecnevyj-280g-78034523	Wed Jul  3 15:03:54 2024	Хлеб Гречневый, 280г	Цена99,00 ₽	Пекарня Перекрёсток	250.0	6.5 г	7.0 г	40.0 г	Мука пшеничная хлебопекарная высшего сорта, мука гречневая цельнозерновая, вода питьевая, дрожжи хлебопекарные прессованные, соль. На предприятии используются аллергены: кунжут, арахис, орехи, молоко, яйца и продукты их переработки. 	True	True	Fri Jul  5 22:49:11 2024
Багет Рустикальный пшеничный, 255г	59,90 ₽/шт	255 гр	https://www.perekrestok.ru/cat/196/p/baget-rustikalnyj-psenicnyj-255g-78034642	Wed Jul  3 15:03:54 2024	Багет Рустикальный пшеничный, 255г	Цена59,90 ₽	Пекарня Перекрёсток	200.0	7.0 г	0.7 г	41.5 г	Мука пшеничная высшего сорта, вода питьевая, мука пшеничная 1 сорта, мука пшеничная хлебопекарная 2 сорта, соль поваренная пищевая, дрожжи хлебопекарные прессованные, крахмал картофельный. Может содержать следы арахиса, орехов, горчицы, яиц, сельдерея, сои, молочных продуктов, семян кунжута. 	True	True	Fri Jul  5 22:49:11 2024
Булка пшеничная, 235г	79,00 ₽/шт	235 гр	https://www.perekrestok.ru/cat/196/p/bulka-psenicnaa-235g-78034709	Wed Jul  3 15:03:54 2024	Булка пшеничная, 235г	Цена79,00 ₽	Пекарня Перекрёсток	263.0	8.0 г	4.0 г	50.0 г	"Мука пшеничная хлебопекарная высшего сорта, вода питьевая, семя льна коричневое, семя лна белое, масло сливочное ""Традиционное 82,5%"", манная крупа из твердых сортов пшеницы, сахарный песок, соль пищевая, дрожжи хлебопекарные пресованные. "	True	True	Fri Jul  5 22:49:12 2024
Булочка с отрубями, 50г	15,00 ₽/шт	50 гр	https://www.perekrestok.ru/cat/196/p/bulocka-s-otrubami-50g-78034474	Wed Jul  3 15:03:54 2024	Булочка с отрубями, 50г	Цена15,00 ₽	Пекарня Перекрёсток	263.0	9.0 г	2.5 г	51.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, отруби пшеничная, дрожжи хлебопекарные, соль пищевая, масло подсолнечное рафинированное дезодорированное, глютен пшеничный, комплексная пищевая добавка «Премиум СL» для изготовления пшеничных и мелкоштучных хлебобулочных изделий (пшеничная мука, глютен пшеничный, порошок ацеролы, технологическое вспомогательное средство - ферментный препарат микробного происхождения: альфа – амилаза, гемицеллюлаза). Продукт может содержать следы сои, молока (включая лактозу), орехов, кунжута, яйца и продукты их переработки. 	True	True	Fri Jul  5 22:49:13 2024
Хлеб Хуторской, 380г	99,00 ₽/шт	380 гр	https://www.perekrestok.ru/cat/196/p/hleb-hutorskoj-380g-78034525	Wed Jul  3 15:03:54 2024	Хлеб Хуторской, 380г	Цена99,00 ₽	Пекарня Перекрёсток	310.0	9.5 г	9.5 г	47.0 г	Мука пшеничная хлебопекарная высшего сорта, мука ржаная хлебопекарная обдирная, вода питьевая, солод ржаной ферментированный, ядро семян подсолнечника, соль, дрожжи хлебопекарные прессованные. На предприятии используются аллергены: кунжут, арахис, орехи, молоко, яйца и продукты их переработки. 	True	True	Fri Jul  5 22:49:14 2024
Тартин злаковый на закваске, 280г	129,00 ₽/шт	280 гр	https://www.perekrestok.ru/cat/196/p/tartin-zlakovyj-na-zakvaske-280g-78034684	Wed Jul  3 15:03:54 2024	Тартин злаковый на закваске, 280г	Цена129,00 ₽	Пекарня Перекрёсток	290.0	10.0 г	6.5 г	45.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, закваска пшеничная (мука пшеничная хлебопекарная высшего сорта, вода питьевая), мука пшеничная цельнозерновая, семена льна, семена подсолнечника очищенные, семена тыквы очищенные, крупа пшено, соль пищевая, дрожжи хлебопекарные прессованные. Продукция производится на предприятии, где используется аллергены: арахис, кунжут, горчица, молоко(лактоза), яйца, злаковые(в том числе глютен), соя, орехи и продукты их переработки. 	True	True	Fri Jul  5 22:49:15 2024
Хлеб Монж, 260г	129,00 ₽/шт	260 гр	https://www.perekrestok.ru/cat/196/p/hleb-monz-260g-78034683	Wed Jul  3 15:03:54 2024	Хлеб Монж, 260г	Цена129,00 ₽	Пекарня Перекрёсток	263.0	7.0 г	3.0 г	52.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, закваска пшеничная (мука пшеничная хлебопекарная высшего сорта, вода питьевая), масло сладко-сливочное несолёное м.д.ж. 82,5%, сахар, дрожжи хлебопекарные прессованные, соль пищевая. Продукция производится на предприятии, где используются аллергены: арахис, кунжут, горчица, молоко (лактоза), яйца, злаковые (в том числе глютен), соя, орехи и продукты их переработки. 	True	True	Fri Jul  5 22:49:16 2024
Хлеб Бородинский Традиционный, 285г	96,00 ₽/шт	285 гр	https://www.perekrestok.ru/cat/196/p/hleb-borodinskij-tradicionnyj-285g-78034688	Wed Jul  3 15:03:54 2024	Хлеб Бородинский Традиционный, 285г	Цена96,00 ₽	Пекарня Перекрёсток	211.0	7.0 г	1.0 г	43.0 г	Мука ржаная обдирная, вода питьевая, мука пшеничная хлебопекарная первый сорт, солод ржаной сухой ферментированный, сахар песок, масло растительное подсолнечное рафинированное дезодарированное, специи кориандр, дрожжи хлебопекарные прессованные, мёд натуральный гречишный, соль поваренная пищевая, экстракт солода (карамелизированный жидкий экстракт темного солода). Продукция производится на предприятии, где используются аллергены: арахис, кунжут, горчица, молоко (лактоза), яйца, злаковые(в том числе глютен), соя, орехи и продукты их переработки. 	True	True	Fri Jul  5 22:49:17 2024
Багет Перекрёсток с чесноком половинка, 160г	75,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/196/p/baget-perekrestok-s-cesnokom-polovinka-160g-78009330	Wed Jul  3 15:03:54 2024	Багет Перекрёсток с чесноком половинка, 160г	Цена79,99 ₽	Пекарня Перекрёсток	303.0	6.7 г	11.0 г	45.0 г	Мука пшеничная высший сорт, вода, масло сливочное, соль, дрожжи, чеснок сушеный, петрушка сушеная. Содержит глютен, продукты переработки молока, возможны следы кунжута. 	True	True	Fri Jul  5 22:49:18 2024
