name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Добавка в чай Чабрец сушеный измельчённый Зелёная Линия, 35г	119,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/82/p/dobavka-v-caj-cabrec-susenyj-izmelcennyj-zelenaa-linia-35g-4174815	Wed Jul  3 15:04:48 2024	Добавка в чай Чабрец сушеный измельчённый Зелёная Линия, 35г	Цена129,99 ₽	Зелёная Линия	276.0	9.1 г	7.4 г	26.9 г	Чабрец сушеный измельченный. 	True	True	Fri Jul  5 23:25:37 2024
Напиток чайный гречишный Зелёная Линия, 100г	249,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/82/p/napitok-cajnyj-grecisnyj-zelenaa-linia-100g-4114143	Wed Jul  3 15:04:48 2024	Напиток чайный гречишный Зелёная Линия, 100г	Цена249,99 ₽	Зелёная Линия	310.0	17.7 г	1.8 г	54.0 г	Семена татарской гречихи. 	True	True	Fri Jul  5 23:25:38 2024
Чай С Чабрецом черный Market Collection, 20x2г	289,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/82/p/caj-s-cabrecom-cernyj-market-collection-20x2g-4206082	Wed Jul  3 15:04:48 2024	Чай С Чабрецом черный Market Collection, 20x2г	Цена289,99 ₽	Market Collection	0.0	0.0 г	0.0 г	0.0 г	Чай черный рассыпной листовой крупный, чабрец. 	True	True	Fri Jul  5 23:25:39 2024
Чай Эрл Грей с ароматом бергамота черный Market Collection, 20x2г	289,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/82/p/caj-erl-grej-s-aromatom-bergamota-cernyj-market-collection-20x2g-4206081	Wed Jul  3 15:04:48 2024	Чай Эрл Грей с ароматом бергамота черный Market Collection, 20x2г	Цена289,99 ₽	Market Collection	0.0	0.0 г	0.0 г	0.0 г	"Чай черный рассыпной листовой крупный, ароматизатор ""бергамот"". "	True	True	Fri Jul  5 23:25:40 2024
Чай Имбирный Апельсин зеленый Market Collection, 20x2г	289,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/82/p/caj-imbirnyj-apelsin-zelenyj-market-collection-20x2g-4206086	Wed Jul  3 15:04:48 2024	Чай Имбирный Апельсин зеленый Market Collection, 20x2г	Цена289,99 ₽	Market Collection	0.0	0.0 г	0.0 г	0.0 г	Чай зеленый рассыпной листовой крупный, имбирь, цедра апельсина, ароматизаторы, кусочки апельсина, лемонграсс, лепестки апельсина, лимонный мирт. 	True	True	Fri Jul  5 23:25:41 2024
Чай Английский классический черный Market Collection, 20x2г	289,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/82/p/caj-anglijskij-klassiceskij-cernyj-market-collection-20x2g-4206083	Wed Jul  3 15:04:48 2024	Чай Английский классический черный Market Collection, 20x2г	Цена289,99 ₽	Market Collection	0.0	0.0 г	0.0 г	0.0 г	Чай черный рассыпной листовой крупный. 	True	True	Fri Jul  5 23:25:42 2024
Чай Greenfield Золотой Цейлон чёрный в пакетиках, 100х2г	349,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/82/p/caj-greenfield-zolotoj-cejlon-cernyj-v-paketikah-100h2g-2147890	Wed Jul  3 15:04:48 2024	Чай Greenfield Золотой Цейлон чёрный в пакетиках, 100х2г	Цена349,99 ₽	Greenfield	0.3	0.0 г	0.0 г	0.0 г	Чай черный байховый цейлонский в пакетиках для разовой заварки. 	True	True	Fri Jul  5 23:25:43 2024
Чай Greenfield Spring Melody чёрный в пакетиках, 25х1.5г	99,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/82/p/caj-greenfield-spring-melody-cernyj-v-paketikah-25h1-5g-2114141	Wed Jul  3 15:04:48 2024	Чай Greenfield Spring Melody чёрный в пакетиках, 25х1.5г	Цена99,99 ₽	Greenfield	0.0	0.0 г	0.0 г	0.0 г	Чай черный байховый, ароматизатор, лист черной смородины, мята, чабрец. 	True	True	Fri Jul  5 23:25:44 2024
Чай Tess Pleasure чёрный с шиповником и яблоком в пакетиках, 25х1.5г	109,99 ₽/шт	38 гр	https://www.perekrestok.ru/cat/82/p/caj-tess-pleasure-cernyj-s-sipovnikom-i-ablokom-v-paketikah-25h1-5g-2133939	Wed Jul  3 15:04:48 2024	Чай Tess Pleasure чёрный с шиповником и яблоком в пакетиках, 25х1.5г	Цена134,99 ₽	Tess	57.1	3.0 г	1.8 г	8.7 г	"Чай черный байховый, плоды шиповника, яблоко сушеное, лимонное сорго, ароматизатор ""тропические фрукты"", лепестки василька. "	True	True	Fri Jul  5 23:25:45 2024
Чай Азерчай чёрный байховый с бергамотом в пакетиках, 25x2г	69,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/82/p/caj-azercaj-cernyj-bajhovyj-s-bergamotom-v-paketikah-25x2g-3439932	Wed Jul  3 15:04:48 2024	Чай Азерчай чёрный байховый с бергамотом в пакетиках, 25x2г	Цена104,99 ₽	Азерчай	5.0	0.0 г	0.0 г	5.0 г	Чай черны байховый, высшего сорта, ароматизатор бергамот. 	True	True	Fri Jul  5 23:25:46 2024
