name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Мёд цветочное разнотравье натуральный Пр!ст, 135г	75,99 ₽/шт	135 гр	https://www.perekrestok.ru/cat/112/p/med-cvetocnoe-raznotrave-naturalnyj-pr-st-135g-3467507	Wed Jul  3 15:05:13 2024	Мёд цветочное разнотравье натуральный Пр!ст, 135г	Цена61,99 ₽	Пр!ст	320.0	0.8 г	0.0 г	80.0 г	Мед натуральный. 	True	True	Fri Jul  5 23:45:11 2024
Мёд Горный натуральный цветочный Маркет, 500г	239,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/112/p/med-gornyj-naturalnyj-cvetocnyj-market-500g-4320672	Wed Jul  3 15:05:13 2024	Мёд Горный натуральный цветочный Маркет, 500г	Цена299,99 ₽	Маркет	320.0	0.8 г	0.0 г	80.3 г	Мед цветочный горный. 	True	True	Fri Jul  5 23:45:12 2024
Мёд цветочный натуральный Пр!ст, 1кг	359,99 ₽/шт	800 мл	https://www.perekrestok.ru/cat/112/p/med-cvetocnyj-naturalnyj-pr-st-1kg-3901984	Wed Jul  3 15:05:13 2024	Мёд цветочный натуральный Пр!ст, 1кг	Цена359,99 ₽	Пр!ст	320.0	0.8 г	0.0 г	80.3 г	Мед. 	True	True	Fri Jul  5 23:45:13 2024
Мёд луговой натуральный Маркет Перекрёсток, 350г	269,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/112/p/med-lugovoj-naturalnyj-market-perekrestok-350g-3687710	Wed Jul  3 15:05:13 2024	Мёд луговой натуральный Маркет Перекрёсток, 350г	Цена269,99 ₽	Маркет	320.0	0.8 г	0.0 г	80.3 г	Мед. 	True	True	Fri Jul  5 23:45:14 2024
Мёд натуральный цветочный Маркет, 500г	239,99 ₽/шт	350 мл	https://www.perekrestok.ru/cat/112/p/med-naturalnyj-cvetocnyj-market-500g-4316605	Wed Jul  3 15:05:13 2024	Мёд натуральный цветочный Маркет, 500г	Цена369,99 ₽	Маркет	320.0	0.8 г	0.0 г	80.3 г	Мед натуральный цветочный. 	True	True	Fri Jul  5 23:45:15 2024
Мёд Карельское Общество Пчеловодов луговой натуральный, 350г	209,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/112/p/med-karelskoe-obsestvo-pcelovodov-lugovoj-naturalnyj-350g-4050674	Wed Jul  3 15:05:13 2024	Мёд Карельское Общество Пчеловодов луговой натуральный, 350г	Цена219,99 ₽	Карельское общество пчеловодов	308.0	0.0 г	0.0 г	80.3 г	Мёд натуральный. 	True	True	Fri Jul  5 23:45:16 2024
Мёд Карельское Общество Пчеловодов степной натуральный, 650г	399,99 ₽/шт	650 гр	https://www.perekrestok.ru/cat/112/p/med-karelskoe-obsestvo-pcelovodov-stepnoj-naturalnyj-650g-4050669	Wed Jul  3 15:05:13 2024	Мёд Карельское Общество Пчеловодов степной натуральный, 650г	Цена399,99 ₽	Карельское общество пчеловодов	308.0	0.0 г	0.0 г	80.3 г	Мёд натуральный. 	True	True	Fri Jul  5 23:45:17 2024
Мёд цветочный луговой натуральный Маркет, 350г	259,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/112/p/med-cvetocnyj-lugovoj-naturalnyj-market-350g-4331449	Wed Jul  3 15:05:13 2024	Мёд цветочный луговой натуральный Маркет, 350г	Цена259,99 ₽	Маркет	330.0	0.0 г	0.0 г	82.0 г	Мед натуральный цветочный. 	True	True	Fri Jul  5 23:45:18 2024
Мёд липовый натуральный Маркет Перекрёсток, 350г	289,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/112/p/med-lipovyj-naturalnyj-market-perekrestok-350g-3687698	Wed Jul  3 15:05:13 2024	Мёд липовый натуральный Маркет Перекрёсток, 350г	Цена289,99 ₽	Маркет	320.0	0.8 г	0.0 г	80.3 г	Мед. 	True	True	Fri Jul  5 23:45:19 2024
Мёд Карельское общество Пчеловодов Липовый натуральный, 350г	439,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/112/p/med-karelskoe-obsestvo-pcelovodov-lipovyj-naturalnyj-350g-4050672	Wed Jul  3 15:05:13 2024	Мёд Карельское общество Пчеловодов Липовый натуральный, 350г	Цена399,99 ₽	Карельское общество пчеловодов	308.0	0.0 г	0.0 г	80.3 г	Мёд натуральный. 	True	True	Fri Jul  5 23:45:21 2024
Мёд гречишный натуральный Маркет Перекрёсток, 350г	269,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/112/p/med-grecisnyj-naturalnyj-market-perekrestok-350g-3687699	Wed Jul  3 15:05:13 2024	Мёд гречишный натуральный Маркет Перекрёсток, 350г	Цена269,99 ₽	Маркет	320.0	0.8 г	0.0 г	80.3 г	Мед. 	True	True	Fri Jul  5 23:45:22 2024
Мёд Карельское общество Пчеловодов Гречишный натуральный, 350г	439,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/112/p/med-karelskoe-obsestvo-pcelovodov-grecisnyj-naturalnyj-350g-4050673	Wed Jul  3 15:05:13 2024	Мёд Карельское общество Пчеловодов Гречишный натуральный, 350г	Цена409,99 ₽	Карельское общество пчеловодов	308.0	0.0 г	0.0 г	80.3 г	Мёд натуральный. 	True	True	Fri Jul  5 23:45:23 2024
Крем-мёд с малиной Маркет Collection, 250г	199,99 ₽/шт	160 мл	https://www.perekrestok.ru/cat/112/p/krem-med-s-malinoj-market-collection-250g-4302129	Wed Jul  3 15:05:13 2024	Крем-мёд с малиной Маркет Collection, 250г	Цена199,99 ₽	Market Collection	297.0	0.3 г	0.0 г	74.0 г	Мёд натуральный цветочный, сублимированная малина, экстракт свеклы. 	True	True	Fri Jul  5 23:45:24 2024
Крем-мёд с имбирем Маркет Collection, 250г	199,99 ₽/шт	160 мл	https://www.perekrestok.ru/cat/112/p/krem-med-s-imbirem-market-collection-250g-4302131	Wed Jul  3 15:05:13 2024	Крем-мёд с имбирем Маркет Collection, 250г	Цена199,99 ₽	Market Collection	300.0	0.0 г	0.0 г	75.0 г	Мёд натуральный цветочный, имбирь сушёный измельченный. 	True	True	Fri Jul  5 23:45:25 2024
Крем-мёд с кедровым орехом Маркет Collection, 250г	199,99 ₽/шт	160 мл	https://www.perekrestok.ru/cat/112/p/krem-med-s-kedrovym-orehom-market-collection-250g-4302130	Wed Jul  3 15:05:13 2024	Крем-мёд с кедровым орехом Маркет Collection, 250г	Цена199,99 ₽	Market Collection	355.0	3.0 г	7.0 г	70.0 г	Мёд натуральный цветочный, орех кедровый очищенный. 	True	True	Fri Jul  5 23:45:26 2024
