name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Бургер из говядины Мираторг охлаждённый, 200г	194,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/951/p/burger-iz-govadiny-miratorg-ohlazdennyj-200g-3474679	Wed Jul  3 15:04:02 2024	Бургер из говядины Мираторг охлаждённый, 200г	Цена175,00 ₽	Мираторг	360.0	12.0 г	35.0 г	0.0 г	Говядина, вода питьевая, соль пищевая, лук, чеснок, молоко сухое обезжиренное с массовой долей жира 1,5%, меланж яичный, сухари панировочные из хлебных сухарей высшего сорта (крошка сухарная), специи (чеснок, перец черный молотый, перец красный молотый, петрушка, лук), экстракт дрожжевой, клетчатка цитрусовая. 	True	True	Fri Jul  5 22:56:36 2024
Тефтели из мяса цыплёнка-бройлера Троекурово, 350г	149,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/135/p/tefteli-iz-masa-cyplenka-brojlera-troekurovo-350g-3625491	Wed Jul  3 15:04:02 2024	Тефтели из мяса цыплёнка-бройлера Троекурово, 350г	Цена149,99 ₽	Троекурово	140.0	18.0 г	8.0 г	1.0 г	Филе цыпленка -бройлера, кожа куриная, вода питьевая, пшеничные волокна, соль, глюкоза, усилитель вкуса и аромата (глутамат натрия),лук сухой, чеснок сухой, экстракты специй, дрожжевой экстракт, регулятор кислотности (ацетат натрия, лактат кальция, пирофосфат натрия, трифосфат натрия), антиокислитель (пиросульфит натрия), носитель (хлорид калия). 	True	True	Fri Jul  5 22:56:37 2024
Котлеты из говядины Мираторг категории Б, 400г	229,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/135/p/kotlety-iz-govadiny-miratorg-kategorii-b-400g-3451168	Wed Jul  3 15:04:02 2024	Котлеты из говядины Мираторг категории Б, 400г	Цена229,99 ₽	Мираторг	360.0	12.0 г	35.0 г	1.0 г	Говядина, вода, соль, лук, чеснок, молоко сухое обезжиренное с массовой долей жира 1,5%, меланж яичный, сухари панировочные из хлебных сухарей высшего сорта (крошка сухарная), специи (чеснок, перец черный молотый, перец красный молотый, петрушка, лук), экстракт дрожжевой, клетчатка цитрусовая. 	True	True	Fri Jul  5 22:56:37 2024
Котлеты из индейки Индилайт Домашние охлаждённые, 450г	149,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/135/p/kotlety-iz-indejki-indilajt-domasnie-ohlazdennye-450g-4167025	Wed Jul  3 15:04:02 2024	Котлеты из индейки Индилайт Домашние охлаждённые, 450г	Цена179,99 ₽	Индилайт	280.0	13.0 г	20.0 г	11.0 г	Мясо индейки, кожа индейки, вода, сухари панировочные (мука пшеничная, вода), мука пшеничная, соль, молочный белок, пищевые волокна, кориандр, пряности (чеснок, перец белый, паприка), травы (майоран, базилик), натуральный экстракт (перец чёрный), экстракты фруктов (лимон, помело), экстракты специй (смесь специй), мальтодекстрин кукурузный. 	True	True	Fri Jul  5 22:56:38 2024
Котлеты куриные Петелинка сливочные куриные, 500г	189,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/135/p/kotlety-kurinye-petelinka-slivocnye-kurinye-500g-3664055	Wed Jul  3 15:04:02 2024	Котлеты куриные Петелинка сливочные куриные, 500г	Цена209,99 ₽	Петелинка	200.0	15.0 г	10.0 г	12.0 г	Филе, кожа грудки цыпленка-бройлера, вода, мука пшеничная, пшеничные волокна, пастеризованные сливки, молочная сыворотка, декстроза, ароматизатор масла, соль, экстракты пряностей (перец чёрный, мускатный орех), ароматизатор (содержит молоко), мальтодекстрин, яблочный уксус, розмарин, специи (паприка, тмин, кориандр, перец чёрный, куркума), сушеный лук, сушеный чеснок, дрожжи, дрожжевой экстракт, сушёные овощи (красный болгарский перец), натуральные ароматизаторы, солодовый экстракт (ячмень), концентрированный фруктовый сок (лимон), травы (орегано, базилик), сахар, крахмал картофельный, масло рапсовое. 	True	True	Fri Jul  5 22:56:39 2024
Тефтели Индилайт рубленые из индейки охлаждённые, 330г	184,99 ₽/шт	330 гр	https://www.perekrestok.ru/cat/135/p/tefteli-indilajt-rublenye-iz-indejki-ohlazdennye-330g-4050180	Wed Jul  3 15:04:02 2024	Тефтели Индилайт рубленые из индейки охлаждённые, 330г	Цена189,99 ₽	Индилайт	260.0	13.0 г	23.0 г	1.0 г	Филе бедра индейки, кожа индейки, вода, пшеничная клетчатка, соль, молочный белок, стабилизатор пирофосфаты, пряности (укроп, петрушка, перец черный, лук, перец душистый, куркума, перец Чили, перец белый), регуляторы кислотности: ацетат натрия, цитрат натрия. 	True	True	Fri Jul  5 22:56:40 2024
Фрикадельки Самсон из домашнего фарша категории А охлаждённые, 300г	219,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/135/p/frikadelki-samson-iz-domasnego-farsa-kategorii-a-ohlazdennye-300g-3998719	Wed Jul  3 15:04:02 2024	Фрикадельки Самсон из домашнего фарша категории А охлаждённые, 300г	Цена229,99 ₽	Самсон	154.0	16.0 г	10.0 г	0.0 г	Свинина, говядина, вода, соль, белый перец, декстроза, регуляторы кислотности, антиокислители, концентрат на основе лимонного сока. 	True	True	Fri Jul  5 22:56:41 2024
Котлеты свино-говяжие Черкизово домашние охлаждённые, 400г	199,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/135/p/kotlety-svino-govazie-cerkizovo-domasnie-ohlazdennye-400g-3497087	Wed Jul  3 15:04:02 2024	Котлеты свино-говяжие Черкизово домашние охлаждённые, 400г	Цена199,99 ₽	Черкизово	363.0	12.0 г	35.0 г	0.0 г	Свинина, вода, говядина, лук, говяжий белок, соль, чёрный перец, пищевые волокна, регуляторы кислотности (трифосфаты, ацетаты натрия, цитраты натрия), стабилизатор (пирофосфаты), загустители (ксантановая камедь, гуаровая камедь), ароматизатор, антиокислители (лимонная кислота, аскорбат натрия, изоаскорбат натрия, аскорбит натрия, изоаскорбат натрия, аскорбиновая кислота), лимонный сок (сок лимона, консервант (пиросульфит натрия)), экстракт свеклы, виноградный сахар, красители (красный свекольный, сахарный колер III). 	True	True	Fri Jul  5 22:56:42 2024
Кнели Петелинка По-Петелински, 320 г	159,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/135/p/kneli-petelinka-po-petelinski-320-g-4191762	Wed Jul  3 15:04:02 2024	Кнели Петелинка По-Петелински, 320 г	Цена119,99 ₽	Петелино	180.0	12.0 г	12.0 г	5.0 г	Филе грудки, кожа грудки цыпленка – бройлера, вода, морковь, пшеничная мука, соль, дрожжи, пшеничная клетчатка, мальтодекстрин, натуральный ароматизатор, экстракт лимона, чеснок, черный перец. Продукт может содержать следовые количества: горчицы; кунжута; сельдерея; сои; молока; яиц и продуктов их переработки. 	True	True	Fri Jul  5 22:56:42 2024
Котлеты Слово Мясника Три Мяса категории Б, 360г	149,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/135/p/kotlety-slovo-masnika-tri-masa-kategorii-b-360g-4311276	Wed Jul  3 15:04:02 2024	Котлеты Слово Мясника Три Мяса категории Б, 360г	Цена149,99 ₽	Слово Мясника	360.0	12.0 г	35.0 г	0.0 г	Свинина, вода питьевая, говядина, баранина, клетчатка растительная (пшеница), соль, лук сушеный репчатый, регуляторы кислотности (цитрат натрия, лимонная кислота), консервант (ацетат натрия), антиокислитель (аскорбиновая кислота), декстроза, чесночный порошок, черный перец молотый, усилитель вкуса и аромата (глутамат натрия 1-замещенный), экстракт дрожжей, белый перец молотый, антислеживающий агент (диоксид кремния, ферроцианид калия), антиоксидант (аскорбат натрия), натуральные овощи, пряности и их экстракты: паприка, кумин, чеснок, орегано, сельдерей, лук, томат; масло растительное подсолнечное,  мальтодекстрин, сок красной свеклы, кровь пищевая сухая, растительные гороховые волокна. 	True	True	Fri Jul  5 22:56:43 2024
Фрикадельки Веско мини из курицы категории Б охлажденные, 300г	199,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/135/p/frikadelki-vesko-mini-iz-kuricy-kategorii-b-ohlazdennye-300g-4353953	Wed Jul  3 15:04:02 2024	Фрикадельки Веско мини из курицы категории Б охлажденные, 300г	Цена199,99 ₽	Веско	180.0	14.0 г	14.0 г	1.0 г	Филе куриное, бедро куриное с кожей, вода питьевая, яичный белок, пшеничная клетчатка, соль пищевая, лук сушеный, перец черный молотый, перец душистый молотый, кориандр молотый, мускатный орех молотый, регулятор кислотности: ацетат натрия, цитраты натрия, аскорбиновая кислота. 	True	True	Fri Jul  5 22:56:44 2024
Котлеты куриные Троекурово деревенские, 400г	129,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/135/p/kotlety-kurinye-troekurovo-derevenskie-400g-3625503	Wed Jul  3 15:04:02 2024	Котлеты куриные Троекурово деревенские, 400г	Цена129,99 ₽	Троекурово	210.0	16.0 г	13.0 г	7.5 г	Филе цыпленка- бройлера, кожа куриная, вода питьевая, пшеничные волокна, соль, регулятор кислотности (ацетат натрия, лактат кальция, пирофосфат натрия, трифосфат натрия), антиокислитель (пиросульфит натрия), носитель (хлорид калия), лактоза, специи волокно пшеничное, ароматизаторы, дрожжевой экстракт, экстракты специй, усилитель вкуса и аромата (глутамат натрия). 	True	True	Fri Jul  5 22:56:45 2024
Котлеты из мяса курицы Мираторг по-киевски охлаждённые, 460г	219,99 ₽/шт	460 гр	https://www.perekrestok.ru/cat/135/p/kotlety-iz-masa-kuricy-miratorg-po-kievski-ohlazdennye-460g-3660828	Wed Jul  3 15:04:02 2024	Котлеты из мяса курицы Мираторг по-киевски охлаждённые, 460г	Цена249,99 ₽	Мираторг	0.0	0.0 г	0.0 г	0.0 г	Филе цыпленка-бройлера, кожа куриная, вода, масло сливочное (сливки пастеризованные), мука пшеничная, соль, сахар тростниковый нерафинированный, мальтодекстрин, клетчатка (горох, цитрус), стабилизаторы Е450i, Е452i, Е415, Е407а, усилитель вкуса и аромата Е621, экстракт дрожжевой, крахмал модифицированный (тапиока), регуляторы кислотности Е451i, Е262i, Е331iii, глюкозный сироп, растительное масло (подсолнечник), специи (подорожник, перец черный), экстракты специй (перец черный, чеснок), сок лимона, натуральный ароматизатор. 	True	True	Fri Jul  5 22:56:46 2024
Котлеты Мяsoet Meat Company из мраморной говядины охлаждённые, 300г	319,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/135/p/kotlety-masoet-meat-company-iz-mramornoj-govadiny-ohlazdennye-300g-4323580	Wed Jul  3 15:04:02 2024	Котлеты Мяsoet Meat Company из мраморной говядины охлаждённые, 300г	Цена349,99 ₽	МЯSOET MEAT COMPANY	230.0	19.4 г	22.4 г	0.0 г	none	True	True	Fri Jul  5 22:56:46 2024
Колбаски из мраморной говядины Мираторг классические, 400г	289,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/951/p/kolbaski-iz-mramornoj-govadiny-miratorg-klassiceskie-400g-3506107	Wed Jul  3 15:04:02 2024	Колбаски из мраморной говядины Мираторг классические, 400г	Цена289,99 ₽	Мираторг	360.0	12.0 г	35.0 г	0.0 г	Говядина, вода, соль, специи (перец черный, тмин), декстроза, усилитель вкуса и аромата E621, стабилизатор E450, антиокислитель аскорбиновая кислота, натуральная оболочка. 	True	True	Fri Jul  5 22:56:47 2024
Колбаски из свинины Мираторг для жарки категории Б охлаждённые, 400г	229,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/951/p/kolbaski-iz-svininy-miratorg-dla-zarki-kategorii-b-ohlazdennye-400g-3984702	Wed Jul  3 15:04:02 2024	Колбаски из свинины Мираторг для жарки категории Б охлаждённые, 400г	Цена229,00 ₽	Мираторг	280.0	13.0 г	25.0 г	0.0 г	Свинина, говядина, вода питьевая, уксус столовый пищевой, соль, пряности (тмин, паприка, чили, перец душистый, перец черный, кориандр, чеснок, петрушка сушеная, лук), сахара (декстроза, сахар), томатный порошок, экстракты пряностей (перец черный, перец красный). Возможно содержание следов глютена, яичного порошка, горчицы, сельдерея. 	True	True	Fri Jul  5 22:56:48 2024
Колбаски свино-говяжие Мираторг для гриля охлаждённые, 400г	219,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/951/p/kolbaski-svino-govazie-miratorg-dla-grila-ohlazdennye-400g-3456123	Wed Jul  3 15:04:02 2024	Колбаски свино-говяжие Мираторг для гриля охлаждённые, 400г	Цена229,99 ₽	Мираторг	320.0	12.0 г	30.0 г	0.0 г	Свинина, говядина, вода питьевая, уксус столовый пищевой, соль поваренная пищевая, натуральные специи и экстракты специй: чеснок, перец черный, перец белый, лук, майорна, кориандр, тмин, усилитель вкуса глутамат натрия, дрожжевой экстракт, сахар; регулятор кислотности: глюконат натрия (E576), карбонат натрия (E500i). 	True	True	Fri Jul  5 22:56:49 2024
Колбаски Самсон Саксонскиес говядиной и Мюнхенские свиные категории Б охлажденные, 400г	239,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/135/p/kolbaski-samson-saksonskies-govadinoj-i-munhenskie-svinye-kategorii-b-ohlazdennye-400g-4289156	Wed Jul  3 15:04:02 2024	Колбаски Самсон Саксонскиес говядиной и Мюнхенские свиные категории Б охлажденные, 400г	Цена239,99 ₽	Самсон	255.0	14.0 г	23.0 г	0.0 г	свинина, вода, говядина, лук, соль, животный белок, специи и их экстракты (чеснок, петрушка, чабер, белый перец, кориандр, тимьян, зира, корица, чёрный перец, перец чили, кинза, красный перец, тмин, базилик, куркума), усилитель вкуса и аромата (глутамат натрия 1-замещенный), декстроза, антиокислители (лимонная кислота, аскорбиновая кислота, изоаскорбат натрия, аскорбат натрия), ароматизаторы, регуляторы кислотности (трифосфаты, цитраты натрия, ацетаты натрия), стабилизаторы (пирофосфаты, полифосфаты), сахар, свекольный порошок, концентрат на основе лимонного сока (сок лимона, консервант - сульфит натрия).  Колбаски свиные Мюнхенские ТМ Самсон Состав: свинина, вода, лук, соль, специи (перец, имбирь, кориандр, мацис), петрушка, декстроза, усилитель вкуса и аромата (глутамат натрия 1-замещенный), экстракты специй (в т. ч. сельдерея), гидролизат растительного белка, стабилизатор (пирофосфаты), эмульгатор (моно- и диглицериды жирных кислот), антиокислители (аскорбиновая кислота, аскорбат натрия, изоаскорбат натрия), регуляторы кислотности (лимонная кислота, цитраты натрия), животный белок, ароматические экстракты (куркума, лимон), цедра апельсина, концентрат на основе лимонного сока (сок лимона, консервант - сульфит натрия). 	True	True	Fri Jul  5 22:56:50 2024
Колбаски Троекурово Гриль из мяса ЦБ охлажденные, 380г	159,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/135/p/kolbaski-troekurovo-gril-iz-masa-cb-ohlazdennye-380g-4284436	Wed Jul  3 15:04:02 2024	Колбаски Троекурово Гриль из мяса ЦБ охлажденные, 380г	Цена159,99 ₽	Троекурово	150.0	14.0 г	10.0 г	0.5 г	Филе цыплят-бройлеров, кожа цыплят-бройлеров, мясо цыплят-бройлеров механической обвалки, вода питьевая, соль поваренная пищевая, овощи сушеные (чеснок, морковь, красный перец, лук), дрожжевой экстракт, глюкоза (из пшеницы),  пряности (пажитник, черный перец), мука рисовая, карамелизованный сахарный порошок,  зелень петрушки сушеная, экстракты пряностей, клетчатка пшеничная, томат сушеный, сахар, специи (паприка, паприка копченая, красный перец чили, черный перец), натуральные ароматизаторы (содержат продукты переработки ячменя), стабилизаторы: Е450, Е452, регулятор кислотности Е451, лимонная кислота, ацетат натрия, диацетат натрия, цитрат натрия, антиокислитель Е223. 	True	True	Fri Jul  5 22:56:51 2024
Колбаски свиные Черкизово по-домашнему с чесноком, 450г	189,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/951/p/kolbaski-svinye-cerkizovo-po-domasnemu-s-cesnokom-450g-3628430	Wed Jul  3 15:04:02 2024	Колбаски свиные Черкизово по-домашнему с чесноком, 450г	Цена269,99 ₽	Черкизово	306.0	14.0 г	26.0 г	4.0 г	Свинина, вода, соль, молочный белок, виноградный сахар, специи (чёрный перец, мускатный орех), антиокислители (аскорбат натрия, лимонная кислота), усилитель вкуса и аромата (глутамат натрия 1-замещенный), экстракты специй (мускатный цвет), чеснок, регуляторы кислотности (трифосфаты, ацетаты натрия, цитраты натрия), стабилизатор (пирофосфаты), лимонный сок (сок лимона, консервант (пиросульфит натрия)). Продукт может содержать следы: горчицы, кунжута, молока, орехов, сельдерея, сои, яиц, глютена, а также белка птицы и говядины. 	True	True	Fri Jul  5 22:56:52 2024
Колбаски Барбекю с сыром из мяса индейки Зелёная Линия, 500г	319,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/951/p/kolbaski-barbeku-s-syrom-iz-masa-indejki-zelenaa-linia-500g-4350462	Wed Jul  3 15:04:02 2024	Колбаски Барбекю с сыром из мяса индейки Зелёная Линия, 500г	Цена319,99 ₽	Зелёная Линия	220.0	15.0 г	18.0 г	0.0 г	Мясо индейки, черева бараньи, вода, кожа индейки, сыр (молоко цельное, молоко обезжиренное, соль, закваска мезофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения лизоцим), соль, пищевые волокна (пшеничные), фенхель, чеснок. 	True	True	Fri Jul  5 22:56:53 2024
Люля-кебаб мясной из говядины рубленый категории Б охлаждённый	639,99 ₽/кг	none	https://www.perekrestok.ru/cat/135/p/lula-kebab-masnoj-iz-govadiny-rublenyj-kategorii-b-ohlazdennyj-4319416	Wed Jul  3 15:04:02 2024	Люля-кебаб мясной из говядины рубленый категории Б охлаждённый	Цена639,99 ₽	none	138.0	12.0 г	10.0 г	0.0 г	Говядина, вода питьевая, пшеничные волокна, яичный белок, соль пищевая, специи (кинза сухая , базилик сухой , томаты сухие , перец черный молотый, кориандр молотый, базилик сушеный (измельченный)). 	True	True	Fri Jul  5 22:56:53 2024
Колбаски свиные Ближние Горки шашлычные, 400г	164,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/951/p/kolbaski-svinye-bliznie-gorki-saslycnye-400g-3629212	Wed Jul  3 15:04:02 2024	Колбаски свиные Ближние Горки шашлычные, 400г	Цена189,99 ₽	Ближние горки	386.0	11.0 г	38.0 г	0.0 г	Свинина, вода, лук, сухари панировочные, соль, стабилизаторы - фосфат пищевой (дигидропирофосфат натрия), цитрат натрия, антиокислители - аскорбиновая кислота, аскорбат натрия, регулятор кислотности - ацетат натрия, загустители - каррагинан, ксантановая камедь, пряности, экстракты пряностей. 	True	True	Fri Jul  5 22:56:55 2024
Мини-колбаски Самсон Ассорти Сальсичча Тюрингия категории Б охлаждённые, 400г	259,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/135/p/mini-kolbaski-samson-assorti-salsicca-turingia-kategorii-b-ohlazdennye-400g-4343964	Wed Jul  3 15:04:02 2024	Мини-колбаски Самсон Ассорти Сальсичча Тюрингия категории Б охлаждённые, 400г	Цена259,99 ₽	Самсон	270.0	12.0 г	25.0 г	0.0 г	none	True	True	Fri Jul  5 22:56:55 2024
Улитка из говядины и свинины охлаждённая	559,99 ₽/кг	none	https://www.perekrestok.ru/cat/135/p/ulitka-iz-govadiny-i-svininy-ohlazdennaa-4347747	Wed Jul  3 15:04:02 2024	Улитка из говядины и свинины охлаждённая	Цена559,99 ₽	none	268.0	13.0 г	24.0 г	0.0 г	Говядина, свинина, вода питьевая, растительные волокна, яичный белок, молочный белок, соль пищевая, крахмал картофельный, растительный соевый белок, сахар-песок, кардамон, имбирь, перец черный молотый, мускатный орех, зелень петрушки, перец красный Чили, усилитель вкуса и аромата - глутомат натрия, регуляторы кислотности: ацетат натрия, аскорбиновая кислота. 	True	True	Fri Jul  5 22:56:56 2024
Чевапчичи Петелинка Оригинальные из мяса цыплёнка-бройлера, 350г	159,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/135/p/cevapcici-petelinka-originalnye-iz-masa-cyplenka-brojlera-350g-4133386	Wed Jul  3 15:04:02 2024	Чевапчичи Петелинка Оригинальные из мяса цыплёнка-бройлера, 350г	Цена179,99 ₽	Петелинка	180.0	17.0 г	11.0 г	4.5 г	Филе грудки, филе бедра, кожа цыплят-бройлеров, пшеничная клетчатка, специи, пряности и их экстракты (куркума, красный перец, кориандр), лук, чеснок, ароматизаторы, соль, растительное масло, мальтодекстрин, экстракт лимона. Продукт может содержать следовые количества: горчицы; злаков, содержащих глютен; кунжута; молока; сельдерея; сои; яиц и продукты их переработки. 	True	True	Fri Jul  5 22:56:57 2024
Колбаски из мраморной говядины Мираторг классические, 400г	289,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/951/p/kolbaski-iz-mramornoj-govadiny-miratorg-klassiceskie-400g-3506107	Wed Jul  3 15:04:02 2024	Колбаски из мраморной говядины Мираторг классические, 400г	Цена289,99 ₽	Мираторг	360.0	12.0 г	35.0 г	0.0 г	Говядина, вода, соль, специи (перец черный, тмин), декстроза, усилитель вкуса и аромата E621, стабилизатор E450, антиокислитель аскорбиновая кислота, натуральная оболочка. 	True	True	Fri Jul  5 22:56:57 2024
Колбаски из свинины Мираторг для жарки категории Б охлаждённые, 400г	229,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/951/p/kolbaski-iz-svininy-miratorg-dla-zarki-kategorii-b-ohlazdennye-400g-3984702	Wed Jul  3 15:04:02 2024	Колбаски из свинины Мираторг для жарки категории Б охлаждённые, 400г	Цена229,00 ₽	Мираторг	280.0	13.0 г	25.0 г	0.0 г	Свинина, говядина, вода питьевая, уксус столовый пищевой, соль, пряности (тмин, паприка, чили, перец душистый, перец черный, кориандр, чеснок, петрушка сушеная, лук), сахара (декстроза, сахар), томатный порошок, экстракты пряностей (перец черный, перец красный). Возможно содержание следов глютена, яичного порошка, горчицы, сельдерея. 	True	True	Fri Jul  5 22:56:58 2024
