name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Хлеб Harry's American Sandwich сандвичный пшеничный, 470г	119,99 ₽/шт	470 гр	https://www.perekrestok.ru/cat/243/p/hleb-harrys-american-sandwich-sandvicnyj-psenicnyj-470g-2061861	Wed Jul  3 15:03:54 2024	Хлеб Harry's American Sandwich сандвичный пшеничный, 470г	Цена119,99 ₽	Harry'S	260.0	7.0 г	4.5 г	46.6 г	Мука пшеничная хлебопекарная в/с, вода, сахар, масло рапсовое рафинированное дезодорированное (R*), масло подсолнечное рафинированное дезодорированное (S)*, улучшитель хлебопекарный [эмульгатор (моно- и диглицериды жирных кислот), консервант - пропионат кальция, мука пшеничная хлебопекарная, мука соевая полножирная, антиокислитель - кислота аскорбиновая, ферменты], соль, спирт пищевой, дрожжи хлебопекарные, клейковина пшеничная сухая. *Тип масла указан латинскими буквами R или S на стикере. Может содержать следы яичных и молочных продуктов. 	True	True	Fri Jul  5 22:50:27 2024
Хлеб Хлебный Дом тостовый пшеничный, 350г	75,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-tostovyj-psenicnyj-350g-4050647	Wed Jul  3 15:03:54 2024	Хлеб Хлебный Дом тостовый пшеничный, 350г	Цена69,99 ₽	Хлебный Дом	266.0	8.0 г	3.5 г	49.5 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, дрожжи хлебопекарные, сахар, маргарин (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде (пальмовое масло и его фракции, подсолнечное масло), вода), глютен пшеничный, молоко цельное сухое, соль, добавка комплексная пищевая (мука пшеничная, эмульгатор – стеароил-2-лактилат кальция, антиокислитель – кислота аскорбиновая, вещество для обработки муки Е920, фермент микробного происхождения), стабилизатор – ацетат кальция. 	True	True	Fri Jul  5 22:50:28 2024
Хлеб Хлебный Дом тостовый нарезка, 500г	124,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-tostovyj-narezka-500g-36573	Wed Jul  3 15:03:54 2024	Хлеб Хлебный Дом тостовый нарезка, 500г	Цена104,99 ₽	Хлебный Дом	266.0	8.0 г	3.5 г	49.5 г	"Мука пшеничная хлебопекарная высшего сорта, вода питьевая, сахар, маргарин (рафинированные дезодорированные растительные масла в натуральном и отвержденном виде, вода, соль, эмульгаторы - моно-и диглицериды жирных кислот, эфиры полиглицерина и жирных кислот, ароматизатор ""Сливки"", регулятор кислотности - кислота лимонная, красители - аннато, куркумин), дрожжи хлебопекарные, молоко цельное сухое, соль, глютен пшеничный, улучшитель хлебопекарный (мука пшеничная, эмульгатор – стеароил-2-лактилат кальция, антиокислитель – кислота аскорбиновая, вещество для обработки муки Е920, ферменты), стабилизатор – ацетат кальция. "	True	True	Fri Jul  5 22:50:28 2024
Булочка для гамбургера с кунжутом 3шт Маркет, 165г	57,99 ₽/шт	165 гр	https://www.perekrestok.ru/cat/243/p/bulocka-dla-gamburgera-s-kunzutom-3st-market-165g-4317052	Wed Jul  3 15:03:54 2024	Булочка для гамбургера с кунжутом 3шт Маркет, 165г	Цена63,99 ₽	Маркет	268.0	9.0 г	3.5 г	50.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, сахар, семена кунжута, дрожжи хлебопекарные, масло растительное, соль, улучшитель профи пан 160 (мука пшеничная высшего сорта, ферментированный пшеничный крахмал, регулятор кислотности (лимонная кислота е330), клейковина пшеничная, мука пшеничная высокобелковая, антиокислитель аскорбиновая кислота. 	True	True	Fri Jul  5 22:50:29 2024
Хлеб Хлебный Дом Геркулес с кукурузой нарезка, 255г	71,99 ₽/шт	255 гр	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-gerkules-s-kukuruzoj-narezka-255g-3961492	Wed Jul  3 15:03:54 2024	Хлеб Хлебный Дом Геркулес с кукурузой нарезка, 255г	Цена77,99 ₽	Хлебный Дом	268.0	8.2 г	3.2 г	50.4 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, сухая смесь для производства хлеба (кукуруза (крупка кукурузная дробленная, прежелатинизированная кукурузная мука, кукурузные хлопья), пшеничная клейковина, пальмовое масло, сухая сладкая молочная сыворотка, эмульгаторы, регуляторы кислотности: лимонная кислота, молочная кислота, консервант – ацетат кальция, ферменты микробного происхождения, антиокислитель – аскорбиновая кислота), морковь сушенная, дрожжи хлебопекарные, масло подсолнечное рафинированное дезодорированное вымороженное, сахар, соль, стабилизатор – ацетат кальция. 	True	True	Fri Jul  5 22:50:30 2024
Булочка Бриошь 3шт Маркет, 267г	81,99 ₽/шт	267 гр	https://www.perekrestok.ru/cat/243/p/bulocka-brios-3st-market-267g-4317056	Wed Jul  3 15:03:54 2024	Булочка Бриошь 3шт Маркет, 267г	Цена89,99 ₽	Маркет	290.0	8.0 г	4.5 г	54.0 г	"Мука пшеничная хлебопекарная высшего сорта, вода питьевая, сахар, масло растительное, дрожжи хлебопекарные, крем на растительных маслах (вода, масло растительное подсолнечное, белок растительный (гороховый), декстроза, мальтодекстрины, крахмал кукурузный), соль, молоко сухое, яичный порошок, краситель (бета-каротин е160а), клейковина пшеничная, улучшитель профи-пан 160 (мука пшеничная высшего сорта, ферментированный пшеничный крахмал, регулятор кислотности (лимонная кислота е330)), ароматизатор натуральный ""сливочное масло"", мука пшеничная высокобелковая, антиокислитель аскорбиновая кислота. "	True	True	Fri Jul  5 22:50:31 2024
Хлеб Хлебный Дом Геркулес с отрубями половинка нарезка, 250г	77,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-gerkules-s-otrubami-polovinka-narezka-250g-3266204	Wed Jul  3 15:03:54 2024	Хлеб Хлебный Дом Геркулес с отрубями половинка нарезка, 250г	Цена75,99 ₽	Хлебный Дом	279.3	9.7 г	6.4 г	44.7 г	Мука пшеничная хлебопекарная первого сорта, вода питьевая, отруби пшеничные, семена льна, маргарин (рафинированные дезодорированные растительные масла, вода, эмульгаторы: моно-и диглицериды жирных кислот, эфиры полиглицерина и жирных кислот, соль, ароматизатор, красители Е160b, куркумин, регулятор кислотности - лимонная кислота) дрожжи хлебопекарные, сахар, глютен пшеничный, соль, улучшитель хлебопекарный (мука пшеничная, эмульгатор – стеароил-2-лактилат кальция, антиокислитель – кислота аскорбиновая, вещество для обработки муки Е920, ферменты), стабилизатор – ацетат кальция. Продукт может содержать следы семян кунжута, сои, молочных и яичных продуктов. 	True	True	Fri Jul  5 22:50:32 2024
Булочки BIMBO из пшеничной муки с кунжутом, 240г	114,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/243/p/bulocki-bimbo-iz-psenicnoj-muki-s-kunzutom-240g-4137972	Wed Jul  3 15:03:54 2024	Булочки BIMBO из пшеничной муки с кунжутом, 240г	Цена114,99 ₽	Бимбо	270.0	9.0 г	2.5 г	53.0 г	Мука пшеничная хлебопекарная высший сорт, вода питьевая, сахар-песок, семена кунжута очищенные, масло подсолнечное, соль поваренная пищевая, дрожжи хлебопекарные, смесь сухая для приготовления хлебобулочных изделий Профи-Пан 110(мука пшеничная, ферменты, антиокислитель аскорбиновая кислота Е300, регулятор кислотности карбонат натрия Е500, декстрин), консервант кальция пропионат Е282. 	True	True	Fri Jul  5 22:50:33 2024
Хлеб Каравай Английский диетический нарезка, 200г	54,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/243/p/hleb-karavaj-anglijskij-dieticeskij-narezka-200g-3299249	Wed Jul  3 15:03:54 2024	Хлеб Каравай Английский диетический нарезка, 200г	Цена54,99 ₽	Каравай	300.0	12.0 г	7.5 г	44.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, смеси зерновые (мука пшеничная хлебопекарная высшего сорта, семя подсолнечника, мука ржаная обдирная, семя льна, глютен пшеничный, отруби пшеничные, семя тыквы, хлопья овсяные, мука пшеничная витаминизированная, карамелизованный жженый сахар, сахар, соль(агент антислеживающий Е536), закваска сухая пшеничная, эмульгатор Е472е, антиокислитель аскорбиновая кислота, носитель Е170, вещество для обработки муки L- цистеин), дрожжи хлебопекарные. Продукт может содержать следы масла горчичного, соевых, молочных продуктов. 	True	True	Fri Jul  5 22:50:34 2024
Булочки Ремесленный Хлеб Оригинальные пшеничные с кунжутом, 140г	41,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/243/p/bulocki-remeslennyj-hleb-originalnye-psenicnye-s-kunzutom-140g-4089926	Wed Jul  3 15:03:54 2024	Булочки Ремесленный Хлеб Оригинальные пшеничные с кунжутом, 140г	Цена41,99 ₽	Ремесленный Хлеб	300.0	9.5 г	7.5 г	51.0 г	Мука пшеничная хлебопекарная высшего сорта, вода, кунжут, сахар, масло подсолнечное, дрожжи хлебопекарные прессованные, глютен пшеничный, соль, комплексные пищевые добавки (стабилизатор -карбонат кальция, мука соевая, эмульгаторы: моно и диглицериды жирных кислот, эфиры глицерина и диацетилвинной и жирных кислот, антиокислитель – аскорбиновая кислота, вещество для обработки муки-цистеин, мука пшеничная 1 сорта), консервант-сорбиновая кислота.(Может содержать следы арахиса, молочных и яичных продуктов). Продукт содержит натуральный белок пшеничной муки глютен. 	True	True	Fri Jul  5 22:50:35 2024
