name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сосиски из грудки индейки и говядины из мяса птицы 1 сорт Зелёная Линия, 240г	339,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/134/p/sosiski-iz-grudki-indejki-i-govadiny-iz-masa-pticy-1-sort-zelenaa-linia-240g-4056912	Wed Jul  3 15:04:12 2024	Сосиски из грудки индейки и говядины из мяса птицы 1 сорт Зелёная Линия, 240г	Цена299,99 ₽	Зелёная Линия	130.0	16.0 г	7.0 г	0.0 г	Филе грудки индейки, говядина, вода питьевая, соль пищевая, пищевая добавка (глюкоза, экстракты натуральных пряностей (мускатный орех, перец душистый). 	True	True	Fri Jul  5 23:04:10 2024
Колбаски варёные куриные натуральные из мяса птицы высший сорт Зелёная Линия, 240г	259,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/134/p/kolbaski-varenye-kurinye-naturalnye-iz-masa-pticy-vyssij-sort-zelenaa-linia-240g-4081997	Wed Jul  3 15:04:12 2024	Колбаски варёные куриные натуральные из мяса птицы высший сорт Зелёная Линия, 240г	Цена259,99 ₽	Зелёная Линия	140.0	17.0 г	8.0 г	0.0 г	Мясо птицы (филе куриной грудки с кожей), вода питьевая, соль пищевая, специи сушеные молотые (чеснок, перец черный, перец белый). 	True	True	Fri Jul  5 23:04:11 2024
Сосиски из мяса птицы с моцареллой и базиликом вареные 1 сорт Зелёная Линия, 250г	299,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/134/p/sosiski-iz-masa-pticy-s-mocarelloj-i-bazilikom-varenye-1-sort-zelenaa-linia-250g-4221323	Wed Jul  3 15:04:12 2024	Сосиски из мяса птицы с моцареллой и базиликом вареные 1 сорт Зелёная Линия, 250г	Цена299,99 ₽	Зелёная Линия	228.0	18.0 г	16.0 г	3.0 г	Мясо кур и индеек, сыр моцарелла м.д.ж. в сухом веществе 45% (молоко пастеризованное, соль пищевая, термофильная бактериальная закваска, молокосвёртывающий ферментный препарат микробиального происхождения), вода питьевая, масло подсолнечное рафинированное дезодорированное, молоко сухое обезжиренное, соль пищевая, экстракты натуральных пряностей (мускатный орех, чёрный перец, имбирь), базилик сушёный. Продукт может содержать следы горчицы, сельдерея, орехов, сои, яйца, злаков, содержащих глютен и продуктов их переработки. 	True	True	Fri Jul  5 23:04:12 2024
Сосиски из грудки индейки с брокколи и морковью высший сорт Зелёная Линия, 300г	429,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/134/p/sosiski-iz-grudki-indejki-s-brokkoli-i-morkovu-vyssij-sort-zelenaa-linia-300g-4077764	Wed Jul  3 15:04:12 2024	Сосиски из грудки индейки с брокколи и морковью высший сорт Зелёная Линия, 300г	Цена419,99 ₽	Зелёная Линия	110.0	16.0 г	4.0 г	0.0 г	Мясо птицы (филе индейки), капуста брокколи вареная, морковь вареная, меланж яичный, соль пищевая, сок лимонный концентрированный, перец черный молотый. Продукт может содержать следы горчицы, сельдерея, орехов, сои, молока, в том числе лактозы, злаков, содержащих глютен и продуктов их переработки. 	True	True	Fri Jul  5 23:04:14 2024
Сосиски варёные Клинский Клинские, 460г	199,99 ₽/шт	460 гр	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-klinskij-klinskie-460g-3653933	Wed Jul  3 15:04:12 2024	Сосиски варёные Клинский Клинские, 460г	Цена329,99 ₽	Клинский	280.0	11.0 г	26.0 г	1.0 г	Состав. Свинина, филе куриной грудки, вода, говядина, животный белок, масло подсолнечное, загустители альгинат натрия, камеди тары и ксантановая, стабилизаторы дигидропирофосфат натрия, полифосфат натрия, посолочная смесь(соль, фиксатор окраски нитрит натрия), молочный белок, волокна пшеничные, регуляторы кислотности ацетат натрия, цитрат натрия, глюкоза, усилитель вкуса и аромата глутамат натрия, антиокислитель аскорбиновая кислота, экстракты специй (с сельдереем), краситель пищевой кармин. 	True	True	Fri Jul  5 23:04:15 2024
Сосиски варёные Индилайт Грандос из мяса индейки, 440г	279,99 ₽/шт	440 гр	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-indilajt-grandos-iz-masa-indejki-440g-4169220	Wed Jul  3 15:04:12 2024	Сосиски варёные Индилайт Грандос из мяса индейки, 440г	Цена219,99 ₽	Индилайт	240.0	10.0 г	22.0 г	0.0 г	Мясо индейки, кожа индейки, вода, молочный белок, соль, стабилизатор пирофосфаты, регуляторы кислотности: трифосфаты, гидроксид натрия, декстроза, мальтодекстрин, усилители вкуса и аромата: глутамат натрия, Е635, антиокислитель изоаскорбат натрия, пищевые волокна, ароматизаторы натуральные, белый уксусный порошок, фиксатор окраски нитрит натрия. 	True	True	Fri Jul  5 23:04:16 2024
Сосиски Папа Может Сочные вареные категории В, 410г	279,99 ₽/шт	410 гр	https://www.perekrestok.ru/cat/134/p/sosiski-papa-mozet-socnye-varenye-kategorii-v-410g-4343709	Wed Jul  3 15:04:12 2024	Сосиски Папа Может Сочные вареные категории В, 410г	Цена259,99 ₽	Папа может	170.0	8.0 г	14.0 г	3.0 г	Свинина, филе грудок куриных, мясо цыпленка-бройлера механической обвалки, говядина, вода, белковый стабилизатор (вода, шкурка свиная), сыворотка молочная сухая, крахмал картофельный, масло растительное, смесь посолочно-нитритная (соль, фиксатор окраски нитрит натрия), соль, регуляторы кислотности: пирофосфаты, ацетаты натрия; стабилизаторы: альгинат натрия, каррагинан из водорослей EUCHEMA, гуаровая камедь; экстракты пряностей, антиокислитель аскорбиновая кислота, усилитель вкуса и аромата глутамат натрия, сахар, краситель кармины. 	True	True	Fri Jul  5 23:04:18 2024
Сосиски Вязанка Молокуши Миникушай варёные, 330г	149,99 ₽/шт	330 гр	https://www.perekrestok.ru/cat/134/p/sosiski-vazanka-molokusi-minikusaj-varenye-330g-4339153	Wed Jul  3 15:04:12 2024	Сосиски Вязанка Молокуши Миникушай варёные, 330г	Цена149,99 ₽	Вязанка	190.0	11.0 г	16.0 г	0.0 г	none	True	True	Fri Jul  5 23:04:20 2024
Сардельки из мяса птицы варёные для детей Зелёная Линия, 240г	279,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/134/p/sardelki-iz-masa-pticy-varenye-dla-detej-zelenaa-linia-240g-4336419	Wed Jul  3 15:04:12 2024	Сардельки из мяса птицы варёные для детей Зелёная Линия, 240г	Цена219,99 ₽	Зелёная Линия	230.0	14.7 г	18.7 г	0.4 г	Филе грудки индейки, свинина, вода питьевая, молоко сухое, меланж яичный, соль пищевая, глюкоза, экстракты натуральных пряностей (мускатный орех, перец душистый). 	True	True	Fri Jul  5 23:04:20 2024
Сосиски варёные из грудки куриной с тыквой высший сорт Зелёная Линия, 200г	239,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-iz-grudki-kurinoj-s-tykvoj-vyssij-sort-zelenaa-linia-200g-4135356	Wed Jul  3 15:04:12 2024	Сосиски варёные из грудки куриной с тыквой высший сорт Зелёная Линия, 200г	Цена239,99 ₽	Зелёная Линия	150.0	15.0 г	9.0 г	2.0 г	Филе грудки куриной, тыква, меланж яичный, молоко сухое, лук репчатый пассерованный (лук репчатый, масло подсолнечное рафинированное дезодорированное), соль пищевая, чеснок сушеный, перец черный молотый, сок лимонный концентрированный. 	True	True	Fri Jul  5 23:04:23 2024
